Source,Target,Weight
POU3F3,OTX2,0.0993871986886513
GFI1B,OTX2,0.148428461383118
GRHL2,OTX2,0.147425978422993
MAFF,OTX2,0.0851276465750327
NFYA,OTX2,0.127534956744527
POU2F2,OTX2,0.159122624308121
POU5F1,OTX2,0.103186589061117
POU3F1,OTX2,0.132636713511388
SOX4,OTX2,0.0672386109452934
SOX9,OTX2,0.0626580607977056
TBP,OTX2,0.113946742595504
TEAD1,OTX2,0.0554652469132951
ZFP281,OTX2,0.306303896822191
BZIP:IRF,DLX6,0.0875981226067996
FOX:EBOX,DLX6,0.0606477852881947
MYNN,DLX6,0.188883305550665
OCT4-SOX2-TCF-NANOG,DLX6,0.0522826899462785
T,HIST1H2BD,0.0720615600964806
CEBP:AP1,HIST1H2BD,0.0794845826009836
DUX4,HIST1H2BD,0.216664593588583
GATA3_2,HIST1H2BD,0.0523683477077203
HAND2,HIST1H2BD,0.181369694951835
MEF2A,HIST1H2BD,0.0640674858490321
MYF5,HIST1H2BD,0.0685518674156211
MYOG,HIST1H2BD,0.0619366068120262
POU3F1,HIST1H2BD,0.087222821333234
PAX7_2,HIST1H2BD,0.106709718253575
PHOX2A,HIST1H2BD,0.0683004204384855
TEAD1,HIST1H2BD,0.0603996974389587
DMC1,TCF4,0.0681796543725438
DMRT1,TCF4,0.58774490623043
DMRT6,TCF4,0.609059493805089
FOXO1,TCF4,0.0840543510316031
FOXO3,TCF4,0.0705502776185187
FOXP1,TCF4,0.126432675178092
KLF14,TCF4,0.11090781543594
KLF3,TCF4,0.141001646314857
KLF5,TCF4,0.0780409702963555
KLF6,TCF4,0.0896498995997163
SP1,TCF4,0.795757384392533
SP2,TCF4,0.0986795604709464
SP5,TCF4,0.121195740603011
ZNF143,TCF4,0.0885302264194782
WT1,TCF4,0.0529507771419388
YY1,TCF4,0.21794442131836
POU3F3,MTA3,0.10349449105876
KLF1,MTA3,0.221799616557546
KLF10,MTA3,0.164862181940062
KLF14,MTA3,0.0620585106470952
KLF3,MTA3,0.143238771316561
KLF4,MTA3,0.164902924910717
KLF5,MTA3,0.125838326257778
KLF6,MTA3,0.109172880055238
KLF9,MTA3,0.131501544999225
POU3F1,MTA3,0.622157166921795
IRF8_2,MTA3,0.0728195310531984
PU.1-IRF,MTA3,0.107431984931488
SOX2,MTA3,0.0556517326912096
SOX9,MTA3,0.0692666031455011
STAT4,MTA3,0.0634785548769434
STAT5A,MTA3,0.0530334008523745
ZNF263,MTA3,0.0540926097304184
ZNF467,MTA3,0.058031458090203
FOXA1:AR,WWTR1,0.0575974262578751
IRF:BATF,WWTR1,0.0765160345888659
CHR,WWTR1,0.0532566203192564
HSF1,WWTR1,0.0563657099083381
HRE,WWTR1,0.131361707755531
IRF1,WWTR1,0.156385260146776
OCT4-SOX2-TCF-NANOG,WWTR1,0.22343431989608
P53,WWTR1,0.106991993356113
PRDM1,WWTR1,0.0777714273721474
RBPJ:EBOX,WWTR1,0.118868569301803
SOX2,WWTR1,0.0579658467371947
SOX4,WWTR1,0.0523105923796387
ZEB2,WWTR1,0.0637289724439162
ZNF528,WWTR1,0.132775683883366
BCL6,RNF146,0.125313164536301
GATA2,RNF146,0.105247576566017
GATA3,RNF146,0.102275723605481
GATA1,RNF146,0.108369506692392
GFI1B,RNF146,0.146998014692677
STAT1,RNF146,0.129365843988299
STAT3+IL21,RNF146,0.133161225079078
STAT3,RNF146,0.098259777842451
STAT4,RNF146,0.202187348315272
CEBP:CEBP,HHIP-AS1,0.225885074596307
FOXA1,HHIP-AS1,0.0695641568620339
FOXA1_2,HHIP-AS1,0.0902525921602974
FOXA2,HHIP-AS1,0.056317273451204
FOX:EBOX,HHIP-AS1,0.144202190869982
HAND2,HHIP-AS1,0.0603842021070344
IRF3,HHIP-AS1,0.118652772423989
ISRE,HHIP-AS1,0.111422899773718
MYF5,HHIP-AS1,0.111104432777036
MYOD1,HHIP-AS1,0.0828703668059308
MYOG,HHIP-AS1,0.100254070404697
NF1:FOXA1,HHIP-AS1,0.231770212497062
POU2F2,HHIP-AS1,0.0561718557208372
POU5F1,HHIP-AS1,0.0879493140107628
SOX4,HHIP-AS1,0.11981746875398
TCF21,HHIP-AS1,0.0769402057554237
KLF14,TNK2,0.0857473514930411
NRF1,TNK2,0.270386259216429
PRDM9,TNK2,0.190194936636525
SP5,TNK2,0.0945274074895322
ZIC3,TNK2,0.0534433769945821
ZNF165,TNK2,0.135150316411028
ZNF263,TNK2,0.0713470410845296
ZNF322,TNK2,0.0723347330459996
POU3F3,EBF1,0.11049659316564
E2F,EBF1,0.0860046498542601
KLF14,EBF1,0.110495292858066
POU2F2,EBF1,0.0509114614299403
POU3F1,EBF1,0.118881409839097
SP5,EBF1,0.0845934910595015
ZFP281,EBF1,0.148334839237785
ZNF317,EBF1,0.193958676909669
ZNF467,EBF1,0.0825376506054159
BCL11A,SNORD151,0.0635155052838398
BCL6,SNORD151,0.0854616089036394
POU3F3,SNORD151,0.076307172684781
RAR:RXR,SNORD151,0.0542660924325921
GATA2,SNORD151,0.0802543646848326
GATA1,SNORD151,0.089174853899323
POU2F2,SNORD151,0.0532688648822455
POU5F1,SNORD151,0.115992884922266
OCT4-SOX2-TCF-NANOG,SNORD151,0.150117452562869
CTCFL,KLHL15,0.235764161390298
CTCF,KLHL15,0.0575905996431113
E2F1,KLHL15,0.122290220324001
E2F3,KLHL15,0.0784021849045355
E2F6,KLHL15,0.0541883448755592
E2F7,KLHL15,0.139414675100188
EGR1,KLHL15,0.0827878514544596
ELF1,KLHL15,0.0578619304902337
ELK1,KLHL15,0.0554934744235489
ETS1,KLHL15,0.106578658086005
ETS,KLHL15,0.100757614512756
ETV4,KLHL15,0.0600353404208081
FOXA1,KLHL15,0.0811134887349165
FOXA1_2,KLHL15,0.0774355687616618
FOXK2,KLHL15,0.0504987763136201
FOXL2_2,KLHL15,0.0661159578935315
FOXM1,KLHL15,0.0518172881937263
FOXO3,KLHL15,0.0705502776185187
FOXP1,KLHL15,0.0548270667918385
GLI3,KLHL15,0.0833350100457315
KLF14,KLHL15,0.11090781543594
KLF3,KLHL15,0.131857395838662
KLF5,KLHL15,0.0780409702963555
KLF6,KLHL15,0.0896498995997163
MAZ,KLHL15,0.0872601509965062
PAX8,KLHL15,0.0659318018333539
PU.1-IRF,KLHL15,0.0748838235065155
SP1,KLHL15,0.246441528675803
SP2,KLHL15,0.119489141091527
SP5,KLHL15,0.121195740603011
YY1,KLHL15,0.280990267482963
ZFP281,KLHL15,0.0873304759644704
ZFP809,KLHL15,0.134820309184626
ZSCAN22,KLHL15,0.0620052522160407
AR,ZNF572,0.175729827567239
EHF,ZNF572,0.0826478516723182
ELF3,ZNF572,0.135989935847501
ELF4,ZNF572,0.0903866863788733
ELF5,ZNF572,0.0786001567326876
ERG,ZNF572,0.0923716600701721
ETS1,ZNF572,0.0870103835833204
ETS1-DISTAL,ZNF572,0.193923676964133
ETS,ZNF572,0.0592643122088673
ETV1,ZNF572,0.10052204212392
EWS:ERG-FUSION,ZNF572,0.0601051235939498
EWS:FLI1-FUSION,ZNF572,0.132540382391942
GABPA,ZNF572,0.0606084509840791
NR3C1,ZNF572,0.144451524847309
GRE,ZNF572,0.137522294144059
NFATC1,ZNF572,0.073384406335167
PAX5,ZNF572,0.108693716714194
PAX8,ZNF572,0.0610562985843815
PGR,ZNF572,0.134363576149234
PR,ZNF572,0.0534090813823159
SPDEF,ZNF572,0.0641754655571622
STAT4,ZNF572,0.0538438175479131
STAT5A,ZNF572,0.0868649658529536
ZNF165,ZNF572,0.099156394094254
ZNF652,ZNF572,0.12319225452403
CTCFL,XKR7,0.172574685418243
EBF2,XKR7,0.119041835286047
EBF1,XKR7,0.210045973857088
EBF1_2,XKR7,0.127502990849998
GLIS3,XKR7,0.0511587907664247
PPARG,XKR7,0.0904974834200804
RARG,XKR7,0.0722895473578007
RBPJ,XKR7,0.075019759827488
RXRA,XKR7,0.0797017881453354
SLUG,XKR7,0.0878286563037857
STAT3+IL21,XKR7,0.0938013482478613
STAT5A,XKR7,0.0911962362026959
TWIST,XKR7,0.0777143763773352
ZBTB18,XKR7,0.0695826862449644
ZFP281,XKR7,0.0573094081302188
ZFP809,XKR7,0.0561948278213125
ZNF317,XKR7,0.0709013064840351
E2F1,ZNF281,0.11407579812223
MYNN,ZNF281,0.0679709008274234
NRF1,ZNF281,0.171343456684046
PBX1,ZNF281,0.318698428618218
PBX2,ZNF281,0.0509179087883284
PBX3,ZNF281,0.233972445912195
PKNOX1,ZNF281,0.209753133755511
BCL11A,C6orf99,0.0555927312350362
CEBP:AP1,C6orf99,0.0777765202434792
GATA_2,C6orf99,0.0916282633941803
HOXA10,C6orf99,0.0780068914020184
HOXD12,C6orf99,0.0722184096976027
IRF1,C6orf99,0.0995763934406783
IRF3,C6orf99,0.159977793256
IRF4,C6orf99,0.0668262509058667
IRF8,C6orf99,0.162402325086817
ISRE,C6orf99,0.10026615242924
NFATC1,C6orf99,0.0784603736684751
OCT4-SOX2-TCF-NANOG,C6orf99,0.0947920742603375
PAX8,C6orf99,0.0577486411928429
IRF8_2,C6orf99,0.200704780962904
PU.1-IRF,C6orf99,0.0894980345109615
STAT6,C6orf99,0.0942497376429862
STAT6_2,C6orf99,0.0602400305047595
ZFP281,C6orf99,0.117561760189863
KLF3,MRS2,0.0520677599401814
PAX6,MRS2,0.0696818346974872
SP5,MRS2,0.0527816287983453
TEAD,MRS2,0.0727380992913723
ZNF415,MRS2,0.20905616889581
TFAP2A,ADGRL3,0.0660865384346681
CTCF-SATELLITEELEMENT,ADGRL3,0.124737507537364
GFI1B,ADGRL3,0.0868848497229404
SP2,ADGRL3,0.0879192985775948
ZFP809,ADGRL3,0.123450419756965
ZIC1,ADGRL3,0.0646484524372298
CTCFL,POU2F1,0.132826341699273
KLF14,POU2F1,0.0542262163336539
KLF3,POU2F1,0.0874417064415356
NRF1,POU2F1,0.350276343875007
NRF,POU2F1,0.375953842617045
SP5,POU2F1,0.174755409578921
TFAP2C,LINC01767,0.0681527271698641
TFAP2A,LINC01767,0.0969972333675121
GATA2,LINC01767,0.0802543646848326
