Id,Weight,Label,type
AARS2,8,AARS2,gene
ABCA1,26,ABCA1,gene
ABCB1,17,ABCB1,gene
ABCD1,48,ABCD1,gene
ABHD10,18,ABHD10,gene
ABHD13,10,ABHD13,gene
ABHD18,15,ABHD18,gene
ABHD5,6,ABHD5,gene
ABHD6,11,ABHD6,gene
ABI2,20,ABI2,gene
ABL2,13,ABL2,gene
ACACA,13,ACACA,gene
ACBD5,7,ACBD5,gene
ACCS,5,ACCS,gene
ACOT11,10,ACOT11,gene
ACOT13,3,ACOT13,gene
ACVR1,21,ACVR1,gene
ACVR2A,17,ACVR2A,gene
ACYP2,4,ACYP2,gene
ADAM10,12,ADAM10,gene
ADAM3B,7,ADAM3B,gene
ADAMTS19-AS1,18,ADAMTS19-AS1,gene
ADAMTS7,14,ADAMTS7,gene
ADCK2,3,ADCK2,gene
ADD2,11,ADD2,gene
ADGRA3,2,ADGRA3,gene
ADGRL2,16,ADGRL2,gene
ADGRL3,6,ADGRL3,gene
ADHFE1,5,ADHFE1,gene
ADNP,13,ADNP,gene
ADPRHL1,3,ADPRHL1,gene
ADRM1,10,ADRM1,gene
AFF1,4,AFF1,gene
AFF1-AS1,16,AFF1-AS1,gene
AGBL4,36,AGBL4,gene
AGBL4-IT1,3,AGBL4-IT1,gene
AGTPBP1,19,AGTPBP1,gene
AHDC1,20,AHDC1,gene
AHI1,10,AHI1,gene
AHSA2P,13,AHSA2P,gene
AK3,12,AK3,gene
AKAP2,17,AKAP2,gene
AKIP1,10,AKIP1,gene
AKIRIN1,16,AKIRIN1,gene
ALDH1L1,5,ALDH1L1,gene
ALKBH3,9,ALKBH3,gene
ALPK1,23,ALPK1,gene
AMD1,16,AMD1,gene
AMER3,9,AMER3,gene
AMZ2,8,AMZ2,gene
ANAPC11,16,ANAPC11,gene
ANAPC2,7,ANAPC2,gene
ANK1,15,ANK1,gene
ANK2,7,ANK2,gene
ANKDD1A,12,ANKDD1A,gene
ANKLE2,10,ANKLE2,gene
ANKRD20A5P,17,ANKRD20A5P,gene
ANKRD45,13,ANKRD45,gene
ANKRD50,10,ANKRD50,gene
ANKS1B,9,ANKS1B,gene
ANP32A,11,ANP32A,gene
AOAH-IT1,8,AOAH-IT1,gene
AOX1,8,AOX1,gene
AP1M1,22,AP1M1,gene
AP1S1,16,AP1S1,gene
AP5M1,9,AP5M1,gene
AP5S1,7,AP5S1,gene
APBB2,8,APBB2,gene
APLP2,12,APLP2,gene
APOE,13,APOE,gene
APOO,17,APOO,gene
AR,17,AR,tf
AR-HALFSITE,17,AR-HALFSITE,tf
ARAP1-AS2,15,ARAP1-AS2,gene
ARC,17,ARC,gene
ARHGAP10,9,ARHGAP10,gene
ARHGAP12,17,ARHGAP12,gene
ARHGAP18,13,ARHGAP18,gene
ARHGAP23,12,ARHGAP23,gene
ARHGAP31-AS1,16,ARHGAP31-AS1,gene
ARHGAP42,13,ARHGAP42,gene
ARHGEF10,16,ARHGEF10,gene
ARHGEF12,8,ARHGEF12,gene
ARHGEF16,23,ARHGEF16,gene
ARHGEF2,15,ARHGEF2,gene
ARHGEF7,17,ARHGEF7,gene
ARID2,4,ARID2,gene
ARID3A,14,ARID3A,gene
ARL2,11,ARL2,gene
ARL8B,8,ARL8B,gene
ARMCX4,15,ARMCX4,gene
ARNTL2,7,ARNTL2,gene
ARPC2,7,ARPC2,gene
ARRB2,16,ARRB2,gene
ARSD,15,ARSD,gene
ASAP2,14,ASAP2,gene
ASF1A,16,ASF1A,gene
ASH1L,9,ASH1L,gene
ASH2L,5,ASH2L,gene
ATAD3A,7,ATAD3A,gene
ATF1,40,ATF1,tf
ATF2,25,ATF2,tf
ATF3,12,ATF3,tf
ATF4,26,ATF4,tf
ATF7,40,ATF7,tf
ATG4D,16,ATG4D,gene
ATG5,16,ATG5,gene
ATL1,3,ATL1,gene
ATOH1,56,ATOH1,tf
ATP10D,27,ATP10D,gene
ATP1B3,9,ATP1B3,gene
ATP2A2,12,ATP2A2,gene
ATP5S,6,ATP5S,gene
ATP8B1,5,ATP8B1,gene
ATXN1L,13,ATXN1L,gene
ATXN2,7,ATXN2,gene
ATXN7L1,6,ATXN7L1,gene
AXIN2,12,AXIN2,gene
B3GALNT1,15,B3GALNT1,gene
B3GALT4,11,B3GALT4,gene
B3GALT5-AS1,10,B3GALT5-AS1,gene
B4GALT6,6,B4GALT6,gene
BACH1,10,BACH1,tf
BACH2,21,BACH2,tf
BAG5,11,BAG5,gene
BATF,8,BATF,tf
BAZ1B,21,BAZ1B,gene
BAZ2B,10,BAZ2B,gene
BCAP31,15,BCAP31,gene
BCAT1,14,BCAT1,gene
BCL11A,23,BCL11A,tf
BCL11B,22,BCL11B,gene
BCL6,51,BCL6,tf
