"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","29/478","434/18670",2.74957972197192e-06,0.0107481071331883,0.0103818341712772,"TAFA4/KCNQ3/NEDD4L/GABRB3/KCNK1/NPS/NALCN/P2RX7/PIEZO2/SSH1/CNR1/KCNMA1/SLMAP/ADRB2/OPRM1/KCNK3/GRIN2B/HTR3D/GLRA2/PLN/GLRA1/GRM1/AKAP6/CHRNB4/FGF14/KCNE4/PID1/KCNK9/AKAP9",29
"GO:0007188","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","17/478","221/18670",5.80860237251034e-05,0.109430735774293,0.105701565677691,"ADGRB3/ADGRL4/ADCY2/HTR1A/GRM8/CNR1/ADRB2/HTR1B/PTGER4/OPRM1/RAMP1/GNAI2/PSAPL1/PLN/FSHR/PDE2A/GPR176",17
"GO:0007187","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","18/478","256/18670",0.00011312998353431,0.109430735774293,0.105701565677691,"ADGRB3/ADGRL4/ADCY2/HTR1A/GRM8/CNR1/ADRB2/HTR1B/PTGER4/OPRM1/RAMP1/GNAI2/PSAPL1/PLN/FSHR/HRH1/PDE2A/GPR176",18
"GO:0071804","GO:0071804","cellular potassium ion transport","16/478","217/18670",0.000155996872088752,0.109430735774293,0.105701565677691,"GAL/KCNQ3/NEDD4L/SLC1A3/KCNK1/NALCN/KCNC4/KCNMA1/KCNK3/KCNIP4/AKAP6/SLC24A3/KCNE4/KCNK9/KCNQ4/AKAP9",16
"GO:0071805","GO:0071805","potassium ion transmembrane transport","16/478","217/18670",0.000155996872088752,0.109430735774293,0.105701565677691,"GAL/KCNQ3/NEDD4L/SLC1A3/KCNK1/NALCN/KCNC4/KCNMA1/KCNK3/KCNIP4/AKAP6/SLC24A3/KCNE4/KCNK9/KCNQ4/AKAP9",16
"GO:0010737","GO:0010737","protein kinase A signaling","6/478","33/18670",0.000167967361127081,0.109430735774293,0.105701565677691,"GAL/ADGRV1/ADRB2/MYOM1/FSHR/AKAP6",6
"GO:0046434","GO:0046434","organophosphate catabolic process","17/478","248/18670",0.000235310001945282,0.123349586362827,0.119146091013575,"ABHD12/ESRRB/PLA2G4D/NUDT7/XDH/P2RX7/MTMR7/NUP35/PGM1/IMPA2/FOXK1/NUPR1/SMPDL3A/AMPD3/UPP2/GPI/PDE2A",17
"GO:0007171","GO:0007171","activation of transmembrane receptor protein tyrosine kinase activity","4/478","13/18670",0.000252442233538658,0.123349586362827,0.119146091013575,"EGF/PDGFC/ADRB2/PRLR",4
"GO:0019933","GO:0019933","cAMP-mediated signaling","14/478","187/18670",0.000339160225161895,0.136518494021617,0.131866229902799,"GAL/ADGRB3/ADGRL4/ADCY2/KSR1/ADRB2/PTGER4/OPRM1/RAMP1/GNAI2/PLN/FSHR/AKAP6/PDE2A",14
"GO:0006816","GO:0006816","calcium ion transport","24/478","434/18670",0.000366909966464566,0.136518494021617,0.131866229902799,"EGF/CLCA1/FKBP1A/FAM155A/NALCN/RGS9/P2RX7/STAC/IL1RAPL1/GEM/RASA3/OPRM1/GRIN2B/RAMP1/TRPM2/ATP2B2/GNAI2/PLN/PLCZ1/AKAP6/MICU2/FGF14/SLC24A3/PDE2A",24
"GO:0010043","GO:0010043","response to zinc ion","7/478","53/18670",0.000384165626563773,0.136518494021617,0.131866229902799,"ARG1/P2RX7/SLC30A8/KCNK3/GLRA2/PLN/GLRA1",7
"GO:0007193","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","9/478","89/18670",0.000454397200692715,0.145508274189637,0.140549657206239,"ADCY2/HTR1A/GRM8/HTR1B/OPRM1/GNAI2/PSAPL1/PDE2A/GPR176",9
"GO:0006813","GO:0006813","potassium ion transport","16/478","240/18670",0.000483910863255381,0.145508274189637,0.140549657206239,"GAL/KCNQ3/NEDD4L/SLC1A3/KCNK1/NALCN/KCNC4/KCNMA1/KCNK3/KCNIP4/AKAP6/SLC24A3/KCNE4/KCNK9/KCNQ4/AKAP9",16
"GO:2001257","GO:2001257","regulation of cation channel activity","13/478","178/18670",0.000691043734823022,0.185632343500994,0.179306382339827,"GAL/FKBP1A/RGS9/STAC/GEM/SLMAP/ADRB2/OPRM1/GRIN2B/PLN/AKAP6/FGF14/KCNE4",13
"GO:0070838","GO:0070838","divalent metal ion transport","25/478","483/18670",0.000733865972254309,0.185632343500994,0.179306382339827,"EGF/CLCA1/FKBP1A/FAM155A/NALCN/RGS9/P2RX7/STAC/IL1RAPL1/SLC30A8/GEM/RASA3/OPRM1/GRIN2B/RAMP1/TRPM2/ATP2B2/GNAI2/PLN/PLCZ1/AKAP6/MICU2/FGF14/SLC24A3/PDE2A",25
"GO:0048871","GO:0048871","multicellular organismal homeostasis","25/478","485/18670",0.000778336976911053,0.185632343500994,0.179306382339827,"ADGRV1/ESRRB/TRIM32/ADCY2/PDGFC/LIPA/P2RX7/PCDH15/CNR1/FTO/ADRB2/EHMT1/CARTPT/TRPM2/CSF1/AQP4/DIO2/FSHB/ACOT11/AMPD3/CYP4A11/PRLR/MAP2K6/WWTR1/TFE3",25
"GO:0031644","GO:0031644","regulation of neurological system process","11/478","137/18670",0.000807303617169837,0.185632343500994,0.179306382339827,"TAFA4/EIF2AK3/SSH1/ADRB2/OPRM1/CARTPT/ITGAX/GLRA1/GRM1/CHRNB4/AKAP9",11
"GO:0072511","GO:0072511","divalent inorganic cation transport","25/478","489/18670",0.000874366964853401,0.189883359200664,0.183412532335038,"EGF/CLCA1/FKBP1A/FAM155A/NALCN/RGS9/P2RX7/STAC/IL1RAPL1/SLC30A8/GEM/RASA3/OPRM1/GRIN2B/RAMP1/TRPM2/ATP2B2/GNAI2/PLN/PLCZ1/AKAP6/MICU2/FGF14/SLC24A3/PDE2A",25
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","11/478","140/18670",0.000965648027132932,0.190542186686257,0.184048908360896,"GABRB3/P2RX7/SSH1/ADRB2/OPRM1/GRIN2B/GLRA2/GLRA1/GRM1/CHRNB4/FGF14",11
"GO:0007194","GO:0007194","negative regulation of adenylate cyclase activity","4/478","18/18670",0.000975945955867833,0.190542186686257,0.184048908360896,"ADGRV1/GABBR2/GNAI2/AKAP9",4
"GO:0099173","GO:0099173","postsynapse organization","12/478","163/18670",0.00102363415717867,0.190542186686257,0.184048908360896,"TIAM1/ETV5/SSH1/IL1RAPL1/SPTBN2/IL1RAP/DOCK10/GRIN2B/MAGI2/CTNND2/EPHB1/NRP2",12
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity","16/478","260/18670",0.00113941894903262,0.194652963879528,0.188019598884051,"GAL/NEDD4L/FKBP1A/RGS9/STAC/GEM/SLMAP/ADRB2/OPRM1/GRIN2B/PLN/AKAP6/FGF14/KCNE4/GOPC/AKAP9",16
"GO:1901292","GO:1901292","nucleoside phosphate catabolic process","13/478","188/18670",0.00114531035283427,0.194652963879528,0.188019598884051,"ESRRB/NUDT7/XDH/P2RX7/NUP35/PGM1/FOXK1/NUPR1/SMPDL3A/AMPD3/UPP2/GPI/PDE2A",13
"GO:0019935","GO:0019935","cyclic-nucleotide-mediated signaling","14/478","215/18670",0.00133936862662892,0.207157109558726,0.200097629488536,"GAL/ADGRB3/ADGRL4/ADCY2/KSR1/ADRB2/PTGER4/OPRM1/RAMP1/GNAI2/PLN/FSHR/AKAP6/PDE2A",14
"GO:0070588","GO:0070588","calcium ion transmembrane transport","18/478","315/18670",0.00133976550119882,0.207157109558726,0.200097629488536,"FKBP1A/FAM155A/NALCN/P2RX7/STAC/IL1RAPL1/GEM/RASA3/OPRM1/GRIN2B/TRPM2/ATP2B2/PLN/AKAP6/MICU2/FGF14/SLC24A3/PDE2A",18
"GO:0007218","GO:0007218","neuropeptide signaling pathway","9/478","104/18670",0.00140312999762356,0.207157109558726,0.200097629488536,"GAL/SORCS2/SORCS1/NPS/CYSLTR2/OPRM1/CARTPT/GLRA2/GLRA1",9
"GO:0010738","GO:0010738","regulation of protein kinase A signaling","4/478","20/18670",0.00148385752561892,0.207157109558726,0.200097629488536,"ADGRV1/ADRB2/FSHR/AKAP6",4
"GO:0031280","GO:0031280","negative regulation of cyclase activity","4/478","20/18670",0.00148385752561892,0.207157109558726,0.200097629488536,"ADGRV1/GABBR2/GNAI2/AKAP9",4
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","16/478","268/18670",0.00155934563929037,0.210189038068485,0.20302623622993,"GAL/NEDD4L/FKBP1A/RGS9/STAC/GEM/SLMAP/ADRB2/OPRM1/GRIN2B/PLN/AKAP6/FGF14/KCNE4/GOPC/AKAP9",16
"GO:0070050","GO:0070050","neuron cellular homeostasis","5/478","34/18670",0.0016234150212251,0.211530977265631,0.204322444952085,"CNR1/HTR1B/FGGY/ATP2B2/DCTN1",5
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","9/478","108/18670",0.00182663252936623,0.230332469590083,0.22248322182807,"GABRB3/P2RX7/SSH1/ADRB2/OPRM1/GRIN2B/GLRA2/GLRA1/CHRNB4",9
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","22/478","436/18670",0.00205702180706772,0.250637680530646,0.242096473741683,"CLSTN2/SLC1A3/SORCS2/NPS/KCNC4/GRM8/SSH1/DTNBP1/CNR1/CNTN4/ADRB2/HTR1B/STXBP5L/GRIN2B/GNAI2/GRM1/CHRNB4/FGF14/HRH1/EPHB1/LRRC4C/AKAP9",22
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","22/478","437/18670",0.00211589753325948,0.250637680530646,0.242096473741683,"CLSTN2/SLC1A3/SORCS2/NPS/KCNC4/GRM8/SSH1/DTNBP1/CNR1/CNTN4/ADRB2/HTR1B/STXBP5L/GRIN2B/GNAI2/GRM1/CHRNB4/FGF14/HRH1/EPHB1/LRRC4C/AKAP9",22
"GO:0019932","GO:0019932","second-messenger-mediated signaling","22/478","439/18670",0.00223795219478677,0.257298680277103,0.248530480578952,"GAL/ADGRB3/EIF2AK3/ADGRL4/FKBP1A/ADCY2/P2RX7/KSR1/ADRB2/PTGER4/OPRM1/GRIN2B/RAMP1/PTPRJ/TRPM2/GNAI2/PLN/FSHR/AKAP6/HRH1/CCL20/PDE2A",22
