## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/F-H1-2.pdf INPUT=7_filter/F-H1-2.filter.bam OUTPUT=8_insert/F-H1-2.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
73	41	29	36	1967	98.575095	69.345529	10581098	FR	13	25	37	47	59	67	75	163	305	411	711			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	159660
37	184119
38	167447
39	198457
40	267896
41	284330
42	233928
43	186209
44	173957
45	171436
46	157277
47	137876
48	121623
49	125865
50	158119
51	188861
52	188513
53	157999
54	140068
55	131618
56	119856
57	107697
58	96241
59	93139
60	100686
61	114348
62	122637
63	119496
64	116286
65	110120
66	103212
67	95665
68	85613
69	82299
70	81120
71	86899
72	92567
73	93434
74	93028
75	89839
76	85767
77	80245
78	72908
79	69478
80	67054
81	68134
82	71335
83	72935
84	73772
85	72260
86	68510
87	64201
88	58659
89	54977
90	53033
91	52227
92	53989
93	55636
94	56698
95	56520
96	54114
97	50706
98	47439
99	43659
100	42490
101	40446
102	40732
103	41991
104	42363
105	43180
106	41448
107	40681
108	38021
109	35583
110	33680
111	32397
112	31879
113	32721
114	32811
115	32818
116	32607
117	32217
118	30745
119	28854
120	27701
121	26162
122	25503
123	25260
124	25450
125	25848
126	25648
127	25403
128	24609
129	23646
130	22267
131	21299
132	20708
133	20596
134	20227
135	20415
136	20649
137	20709
138	20321
139	19532
140	18388
141	17622
142	16980
143	16471
144	16654
145	16496
146	16458
147	16372
148	16697
149	16725
150	16573
151	16183
152	15586
153	14257
154	13885
155	13897
156	13940
157	14146
158	14706
159	14832
160	14259
161	13580
162	12921
163	12720
164	12948
165	13401
166	14565
167	15282
168	15196
169	14860
170	14190
171	13486
172	13102
173	13104
174	14438
175	16009
176	16910
177	17033
178	15844
179	14902
180	13981
181	13708
182	13532
183	13758
184	14089
185	14826
186	15491
187	15134
188	14701
189	14482
190	13701
191	13536
192	13701
193	14246
194	15110
195	15652
196	16307
197	15769
198	15142
199	14824
200	14231
201	14245
202	14827
203	15167
204	15763
205	16253
206	16839
207	16599
208	15840
209	15184
210	14775
211	14759
212	14946
213	15351
214	16079
215	16204
216	16247
217	15900
218	15622
219	14719
220	14530
221	14162
222	14291
223	14567
224	14632
225	14724
226	14609
227	14653
228	14249
229	13839
230	13246
231	13211
232	13051
233	12767
234	13078
235	12912
236	13037
237	12740
238	12586
239	12281
240	12020
241	11427
242	11112
243	11290
244	11108
245	10850
246	11083
247	10935
248	10650
249	10333
250	10072
251	10016
252	9716
253	9323
254	9369
255	9126
256	9305
257	9151
258	8936
259	8779
260	8575
261	8393
262	8192
263	7962
264	7980
265	7816
266	7550
267	7538
268	7677
269	7292
270	7167
271	7110
272	6917
273	6714
274	6492
275	6391
276	6293
277	6329
278	6200
279	6139
280	6061
281	6081
282	5860
283	5647
284	5655
285	5389
286	5351
287	5390
288	5276
289	5119
290	5180
291	5140
292	4953
293	4861
294	4829
295	4732
296	4492
297	4502
298	4606
299	4456
300	4450
301	4434
302	4272
303	4144
304	4169
305	4119
306	4010
307	3978
308	3960
309	3961
310	3792
311	3885
312	3792
313	3798
314	3726
315	3648
316	3553
317	3535
318	3363
319	3401
320	3432
321	3522
322	3432
323	3319
324	3246
325	3174
326	3156
327	3067
328	3097
329	3101
330	2968
331	3038
332	3052
333	3089
334	2938
335	2937
336	2908
337	2825
338	2831
339	2725
340	2667
341	2650
342	2714
343	2679
344	2637
345	2551
346	2573
347	2652
348	2604
349	2534
350	2434
351	2446
352	2511
353	2481
354	2444
355	2471
356	2367
357	2358
358	2387
359	2235
360	2320
361	2357
362	2283
363	2283

