## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/P-H1-3.pdf INPUT=7_filter/P-H1-3.filter.bam OUTPUT=8_insert/P-H1-3.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
61	41	19	36	1834	76.946532	48.734186	3378046	FR	9	17	25	33	39	45	51	111	295	417	819			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	76369
37	77496
38	69638
39	84283
40	115442
41	124767
42	103132
43	83311
44	77281
45	73273
46	64979
47	54440
48	47011
49	48467
50	60926
51	73256
52	73314
53	62925
54	55990
55	51364
56	45767
57	39610
58	34382
59	32399
60	34968
61	39599
62	43540
63	42220
64	40743
65	37817
66	34771
67	31025
68	27055
69	24864
70	24516
71	26573
72	28648
73	29399
74	28681
75	28001
76	26285
77	24126
78	21208
79	18941
80	17769
81	18510
82	19752
83	20534
84	20915
85	20462
86	19440
87	17627
88	15585
89	14283
90	13183
91	12927
92	13310
93	14185
94	14178
95	14624
96	13936
97	13103
98	11788
99	10530
100	9866
101	9171
102	9283
103	9728
104	9839
105	10147
106	10085
107	9691
108	8784
109	8017
110	7475
111	7142
112	7003
113	6975
114	7316
115	7430
116	7379
117	7202
118	6947
119	6332
120	5851
121	5460
122	5200
123	5095
124	5393
125	5506
126	5454
127	5454
128	5175
129	4934
130	4517
131	4175
132	3936
133	3947
134	4024
135	4076
136	4189
137	4097
138	4266
139	3924
140	3620
141	3368
142	3304
143	3220
144	2996
145	3046
146	3134
147	3214
148	3301
149	3383
150	3311
151	3230
152	3007
153	2726
154	2643
155	2506
156	2640
157	2707
158	2825
159	2896
160	2805
161	2670
162	2499
163	2457
164	2574
165	2559
166	2914
167	3266
168	3330
169	3289
170	2947
171	2863
172	2729
173	2713
174	3123
175	3594
176	4086
177	3979
178	3671
179	3296
180	3081
181	3049
182	3029
183	3129
184	3064
185	3424
186	3612
187	3577
188	3390
189	3226
190	3107
191	3063
192	3199
193	3429
194	3534
195	3728
196	3825
197	3625
198	3458
199	3313
200	3264
201	3366
202	3583
203	3694
204	3894
205	3942
206	4105
207	4030
208	3840
209	3594
210	3359
211	3405
212	3523
213	3621
214	3830
215	3997
216	3818
217	3819
218	3771
219	3507
220	3479
221	3271
222	3413
223	3350
224	3486
225	3626
226	3546
227	3465
228	3356
229	3361
230	3181
231	3047
232	3024
233	2977
234	2906
235	3065
236	3095
237	2925
238	2984
239	2875
240	2671
241	2551
242	2583
243	2550
244	2471
245	2448
246	2441
247	2423
248	2411
249	2393
250	2347
251	2236

