## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=8_insert/XF-H1-2.pdf INPUT=7_filter/XF-H1-2.filter.bam OUTPUT=8_insert/XF-H1-2.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Apr 01 14:56:35 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
76	41	31	36	1939	105.050009	76.803293	4317105	FR	15	27	41	51	63	73	93	227	369	583	1023			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
36	53990
37	61187
38	55305
39	67652
40	97621
41	110099
42	89153
43	68018
44	63768
45	63164
46	57274
47	49793
48	44129
49	46909
50	63042
51	79277
52	81387
53	65577
54	56035
55	52036
56	46953
57	41929
58	36907
59	35949
60	39822
61	47336
62	52102
63	49595
64	47335
65	44698
66	41733
67	38018
68	33777
69	31837
70	32231
71	34790
72	38771
73	38548
74	37924
75	36705
76	34501
77	32267
78	28705
79	26696
80	25836
81	27026
82	28689
83	29988
84	30017
85	29035
86	27326
87	25685
88	23058
89	21233
90	20498
91	20056
92	21145
93	21918
94	22223
95	22150
96	21093
97	20124
98	18175
99	16889
100	15738
101	15373
102	15498
103	15784
104	16090
105	16619
106	15775
107	15478
108	14501
109	13454
110	12372
111	11934
112	11710
113	11932
114	12094
115	12401
116	12280
117	11883
118	11484
119	10817
120	10152
121	9611
122	9257
123	9066
124	9061
125	9413
126	9368
127	9270
128	8920
129	8680
130	8221
131	7654
132	7305
133	7354
134	7243
135	7221
136	7283
137	7646
138	7479
139	7204
140	6589
141	6434
142	6131
143	5950
144	5827
145	5860
146	5808
147	5910
148	6134
149	6136
150	6138
151	6006
152	5597
153	5104
154	4999
155	4944
156	5071
157	5174
158	5294
159	5552
160	5360
161	5150
162	4821
163	4727
164	4829
165	5103
166	5514
167	6155
168	6126
169	5829
170	5543
171	5562
172	5192
173	5248
174	5875
175	6667
176	7150
177	7309
178	6714
179	6101
180	6061
181	6086
182	6068
183	5951
184	6179
185	6479
186	6624
187	6554
188	6230
189	5980
190	5722
191	5658
192	6013
193	6410
194	6712
195	7092
196	7311
197	6958
198	6860
199	6131
200	6245
201	6259
202	6535
203	6956
204	7343
205	7688
206	7677
207	7485
208	7158
209	7002
210	6610
211	6682
212	6925
213	7155
214	7363
215	7686
216	7569
217	7295
218	7009
219	6791
220	6558
221	6395
222	6484
223	6612
224	6866
225	6870
226	6905
227	6871
228	6571
229	6254
230	6127
231	6017
232	5893
233	5823
234	6071
235	6043
236	6007
237	5812
238	5702
239	5658
240	5563
241	5307
242	5037
243	5098
244	5033
245	4937
246	5010
247	4912
248	4909
249	4714
250	4643
251	4381
252	4365
253	4330
254	4170
255	4075
256	4212
257	4134
258	4146
259	3920
260	3847
261	3799
262	3683
263	3482
264	3537
265	3425
266	3219
267	3363
268	3323
269	3315
270	3276
271	3174
272	3059
273	2942
274	2883
275	2834
276	2846
277	2816
278	2730
279	2730
280	2742
281	2663
282	2586
283	2524
284	2435
285	2483
286	2417
287	2356
288	2323
289	2300
290	2302
291	2238
292	2221
293	2173
294	2105
295	2100
296	1991
297	1949
298	1968
299	2003
300	1998
301	2041
302	1902
303	1831
304	1834
305	1868
306	1716
307	1744
308	1856
309	1790
310	1791
311	1798
312	1894
313	1705
314	1701
315	1695
316	1612
317	1577
318	1614
319	1589
320	1674
321	1597
322	1673
323	1616
324	1634
325	1566
326	1578
327	1554
328	1543
329	1524
330	1521
331	1544
332	1556
333	1589
334	1510
335	1540
336	1405
337	1494
338	1457
339	1496
340	1517
341	1450
342	1464
343	1529
344	1501
345	1515
346	1443
347	1442
348	1432
349	1468
350	1531
351	1508
352	1466
353	1439
354	1466
355	1418
356	1401
357	1482
358	1376
359	1468
360	1451
361	1408
362	1411
363	1437
364	1470
365	1380
366	1490
367	1448
368	1419
369	1475
370	1474
371	1430
372	1390
373	1421
374	1401
375	1442
376	1481
377	1449
378	1423
379	1389
380	1383
381	1379
382	1415
383	1434
384	1435
385	1445
386	1372

