"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060632","GO:0060632","regulation of microtubule-based movement","4/85","29/18670",8.71210294146277e-06,0.0135211837651502,0.0120318726938938,"MAP2/ARMC4/FEZ1/TTLL6",4
"GO:0048562","GO:0048562","embryonic organ morphogenesis","8/85","288/18670",5.00815191760043e-05,0.037793742176872,0.0336308937439339,"PRRX1/ID2/BBS5/MYO3B/FRZB/CRB2/STOX1/FZD2",8
"GO:0042472","GO:0042472","inner ear morphogenesis","5/85","98/18670",8.4606219265371e-05,0.037793742176872,0.0336308937439339,"PRRX1/MYO3B/FRZB/STOX1/FZD2",5
"GO:0001523","GO:0001523","retinoid metabolic process","5/85","104/18670",0.000112151367796005,0.037793742176872,0.0336308937439339,"CRABP2/LRP2/GPC3/CYP26A1/CRABP1",5
"GO:0048568","GO:0048568","embryonic organ development","9/85","428/18670",0.000141935872921615,0.037793742176872,0.0336308937439339,"PRRX1/ID2/PKDCC/BBS5/MYO3B/FRZB/CRB2/STOX1/FZD2",9
"GO:0016101","GO:0016101","diterpenoid metabolic process","5/85","110/18670",0.000146109828003371,0.037793742176872,0.0336308937439339,"CRABP2/LRP2/GPC3/CYP26A1/CRABP1",5
"GO:0090103","GO:0090103","cochlea morphogenesis","3/85","24/18670",0.000172020714081367,0.0378630636428293,0.0336925796930223,"MYO3B/FRZB/FZD2",3
"GO:0042471","GO:0042471","ear morphogenesis","5/85","118/18670",0.000203014502724878,0.0378630636428293,0.0336925796930223,"PRRX1/MYO3B/FRZB/STOX1/FZD2",5
"GO:0006721","GO:0006721","terpenoid metabolic process","5/85","120/18670",0.00021956673504218,0.0378630636428293,0.0336925796930223,"CRABP2/LRP2/GPC3/CYP26A1/CRABP1",5
"GO:0051965","GO:0051965","positive regulation of synapse assembly","4/85","68/18670",0.000260998797856773,0.0405070134273711,0.0360453076619038,"LRRN3/FLRT3/SYNDIG1/LRRC4B",4
"GO:0042573","GO:0042573","retinoic acid metabolic process","3/85","32/18670",0.000410617167864643,0.0560033443683737,0.049834771982709,"CRABP2/CYP26A1/CRABP1",3
"GO:0006720","GO:0006720","isoprenoid metabolic process","5/85","139/18670",0.000433015549240002,0.0560033443683737,0.049834771982709,"CRABP2/LRP2/GPC3/CYP26A1/CRABP1",5
"GO:0050808","GO:0050808","synapse organization","8/85","408/18670",0.000538544056249288,0.064293875022992,0.0572121297003293,"CNTN2/LRRN3/PTN/CACNB3/SEZ6/FLRT3/SYNDIG1/LRRC4B",8
"GO:0060562","GO:0060562","epithelial tube morphogenesis","7/85","322/18670",0.000664311383392793,0.0736436619304011,0.0655320703016049,"LRP2/BBS5/GPC3/STOX1/CTSH/IRX3/FZD2",7
"GO:0001656","GO:0001656","metanephros development","4/85","90/18670",0.000759044986456928,0.0764822664029089,0.0680580124258115,"ID2/GPC3/CTSH/IRX3",4
"GO:0003149","GO:0003149","membranous septum morphogenesis","2/85","10/18670",0.000900209964877666,0.0764822664029089,0.0680580124258115,"ID2/FZD2",2
"GO:1902513","GO:1902513","regulation of organelle transport along microtubule","2/85","10/18670",0.000900209964877666,0.0764822664029089,0.0680580124258115,"MAP2/FEZ1",2
"GO:0007389","GO:0007389","pattern specification process","8/85","446/18670",0.00096095643190191,0.0764822664029089,0.0680580124258115,"HES3/WLS/LRP2/BBS5/GPC3/CRB2/ARMC4/IRX3",8
"GO:0006775","GO:0006775","fat-soluble vitamin metabolic process","3/85","43/18670",0.00098545760488939,0.0764822664029089,0.0680580124258115,"LRP2/CYP26A1/CRABP1",3
"GO:0048709","GO:0048709","oligodendrocyte differentiation","4/85","97/18670",0.00100474533170101,0.0764822664029089,0.0680580124258115,"CNTN2/ID2/PTN/TRPC4",4
"GO:0010463","GO:0010463","mesenchymal cell proliferation","3/85","44/18670",0.00105410532988324,0.0764822664029089,0.0680580124258115,"PRRX1/PTN/GPC3",3
"GO:0090596","GO:0090596","sensory organ morphogenesis","6/85","256/18670",0.00110970063364985,0.0764822664029089,0.0680580124258115,"PRRX1/MYO3B/FRZB/PTN/STOX1/FZD2",6
"GO:0030324","GO:0030324","lung development","5/85","172/18670",0.00113343564901218,0.0764822664029089,0.0680580124258115,"PKDCC/PTN/GPC3/CTSH/CCBE1",5
"GO:0030323","GO:0030323","respiratory tube development","5/85","176/18670",0.00125531869063256,0.077412306395526,0.0688856117681294,"PKDCC/PTN/GPC3/CTSH/CCBE1",5
"GO:0009111","GO:0009111","vitamin catabolic process","2/85","12/18670",0.00131251462808748,0.077412306395526,0.0688856117681294,"CYP26A1/CRABP1",2
"GO:0048736","GO:0048736","appendage development","5/85","179/18670",0.00135290330445593,0.077412306395526,0.0688856117681294,"CRABP2/PRRX1/PKDCC/GPC3/SMOC1",5
"GO:0060173","GO:0060173","limb development","5/85","179/18670",0.00135290330445593,0.077412306395526,0.0688856117681294,"CRABP2/PRRX1/PKDCC/GPC3/SMOC1",5
"GO:0051963","GO:0051963","regulation of synapse assembly","4/85","106/18670",0.00139661377517701,0.077412306395526,0.0688856117681294,"LRRN3/FLRT3/SYNDIG1/LRRC4B",4
"GO:1900272","GO:1900272","negative regulation of long-term synaptic potentiation","2/85","13/18670",0.00154657121790118,0.0826866887162458,0.0735790393351292,"FAM107A/PTN",2
"GO:0090102","GO:0090102","cochlea development","3/85","51/18670",0.00161993668899382,0.0826866887162458,0.0735790393351292,"MYO3B/FRZB/FZD2",3
"GO:0001822","GO:0001822","kidney development","6/85","278/18670",0.00168925756760972,0.0826866887162458,0.0735790393351292,"ID2/ODC1/GPC3/CYP26A1/CTSH/IRX3",6
"GO:1903828","GO:1903828","negative regulation of cellular protein localization","4/85","112/18670",0.00171045350245981,0.0826866887162458,0.0735790393351292,"PKDCC/DCLK2/SIRT4/DERL3",4
"GO:0030900","GO:0030900","forebrain development","7/85","381/18670",0.00175815768533255,0.0826866887162458,0.0735790393351292,"POU3F1/CNTN2/ID2/LRP2/DCLK2/PTN/FEZ1",7
"GO:0048839","GO:0048839","inner ear development","5/85","192/18670",0.00184167964829329,0.0840672592397409,0.0748075448470836,"PRRX1/MYO3B/FRZB/STOX1/FZD2",5
"GO:0003352","GO:0003352","regulation of cilium movement","2/85","15/18670",0.00206964626277258,0.0860262375333747,0.0765507485375662,"ARMC4/TTLL6",2
"GO:0042074","GO:0042074","cell migration involved in gastrulation","2/85","15/18670",0.00206964626277258,0.0860262375333747,0.0765507485375662,"GPC3/CRB2",2
"GO:0042063","GO:0042063","gliogenesis","6/85","290/18670",0.00208958478711659,0.0860262375333747,0.0765507485375662,"POU3F1/CNTN2/ID2/LRP2/PTN/TRPC4",6
"GO:0060541","GO:0060541","respiratory system development","5/85","198/18670",0.00210631251692541,0.0860262375333747,0.0765507485375662,"PKDCC/PTN/GPC3/CTSH/CCBE1",5
"GO:0072001","GO:0072001","renal system development","6/85","293/18670",0.00220002736267723,0.0871458875488287,0.0775470730222892,"ID2/ODC1/GPC3/CYP26A1/CTSH/IRX3",6
