"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046683","GO:0046683","response to organophosphorus","11/165","134/18670",2.96113002943479e-08,8.98999076936404e-05,7.47139861111074e-05,"JUN/PTGS2/DUSP1/VGF/NOX4/ITPR2/FOS/RYR3/SREBF1/JUNB/FOSB",11
"GO:0014074","GO:0014074","response to purine-containing compound","11/165","149/18670",8.86791983303902e-08,0.000134615023065532,0.000111875809683129,"JUN/PTGS2/DUSP1/VGF/NOX4/ITPR2/FOS/RYR3/SREBF1/JUNB/FOSB",11
"GO:0051591","GO:0051591","response to cAMP","9/165","97/18670",1.9422571430761e-07,0.000196556422879301,0.000163354048138716,"JUN/DUSP1/VGF/NOX4/ITPR2/FOS/SREBF1/JUNB/FOSB",9
"GO:0007565","GO:0007565","female pregnancy","11/165","192/18670",1.13487664109808e-06,0.000718906124928614,0.000597468269001417,"PTGS2/ITGA2/CLDN4/STS/PCSK5/ETS1/FOS/ITGA3/MMP9/JUNB/FOSB",11
"GO:0001822","GO:0001822","kidney development","13/165","278/18670",1.18396924395358e-06,0.000718906124928614,0.000597468269001417,"TACSTD2/NID1/FOXD1/EGR1/FGF1/SOX4/ANGPT1/PCSK5/LRP4/ITGA3/SMAD7/MMP9/ADAMTS1",13
"GO:0072001","GO:0072001","renal system development","13/165","293/18670",2.12290840967232e-06,0.00103290324104019,0.000858424890358972,"TACSTD2/NID1/FOXD1/EGR1/FGF1/SOX4/ANGPT1/PCSK5/LRP4/ITGA3/SMAD7/MMP9/ADAMTS1",13
"GO:0006979","GO:0006979","response to oxidative stress","16/165","451/18670",2.60205412982818e-06,0.00103290324104019,0.000858424890358972,"SFPQ/JUN/PTGS2/SLC7A11/MCTP1/DUSP1/FOXO3/ABCD1/SCARA3/AKR1C3/NOX4/ETS1/MMP14/FOS/PRNP/MMP9",16
"GO:0009612","GO:0009612","response to mechanical stimulus","11/165","210/18670",2.72174767072515e-06,0.00103290324104019,0.000858424890358972,"JUN/PTGS2/CHRNA9/USP53/ITGA2/ETS1/LTBR/MMP14/FOS/JUNB/FOSB",11
"GO:0044706","GO:0044706","multi-multicellular organism process","11/165","222/18670",4.64712325753764e-06,0.00156762957887603,0.00130282508167459,"PTGS2/ITGA2/CLDN4/STS/PCSK5/ETS1/FOS/ITGA3/MMP9/JUNB/FOSB",11
"GO:0043062","GO:0043062","extracellular structure organization","15/165","422/18670",5.30406402058663e-06,0.0016103138366501,0.00133829910077328,"LAMC2/NID1/COL6A3/COL25A1/ITGA2/TNXB/LAMA2/COL22A1/ABCA1/COL17A1/ETS1/MMP14/ITGA3/MMP9/ABCG1",15
"GO:0001655","GO:0001655","urogenital system development","13/165","330/18670",7.75328924306111e-06,0.00213990783108487,0.00177843390580072,"TACSTD2/NID1/FOXD1/EGR1/FGF1/SOX4/ANGPT1/PCSK5/LRP4/ITGA3/SMAD7/MMP9/ADAMTS1",13
"GO:0030336","GO:0030336","negative regulation of cell migration","13/165","334/18670",8.82193248343477e-06,0.002231948918309,0.00185492738270115,"TIE1/TACSTD2/MCTP1/DUSP1/FOXO3/EPHA1/EPPK1/NAV3/STARD13/LRCH1/LDLRAD4/SMAD7/MIR24-2",13
"GO:0045682","GO:0045682","regulation of epidermis development","7/165","85/18670",1.02583744195264e-05,0.00224816566512742,0.00186840479138424,"MYSM1/KLF7/CD109/HEY2/MAFG/ZFP36/RUNX1",7
"GO:0007162","GO:0007162","negative regulation of cell adhesion","12/165","289/18670",1.03670353464374e-05,0.00224816566512742,0.00186840479138424,"TACSTD2/PLXND1/DUSP1/PAG1/ANGPT1/FZD4/MMP14/SPN/SMAD7/PRNP/MYADM/RUNX1",12
"GO:0010632","GO:0010632","regulation of epithelial cell migration","12/165","291/18670",1.11097294595968e-05,0.00224860924262239,0.0018687734396248,"TACSTD2/JUN/PTGS2/ITGA2/FGF1/ANGPT1/EPPK1/ETS1/STARD13/ITGA3/MMP9/MIR24-2",12
