"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RP11-34P13.7",2.63512167563176,-0.047355680526152,0.975388877916609,0.866655847083267,NA
"AL627309.1",171.142694916397,4.75773899039546,0.806110538250678,7.86936625837206e-10,1.05807099393209e-08
"RP11-34P13.14",4.7083731568182,0.637886181234427,1.27771910422761,0.0619641036878624,0.126129692842798
"AP006222.2",2.3006218214086,-0.226036897107246,1.02248570505064,0.395730868376046,NA
"RP4-669L17.10",19.7177808240818,0.29747918600876,0.873274894733863,0.547843715826408,0.671004115449148
"RP11-206L10.3",12.3845454315891,0.180327440162706,0.874477340017306,0.701870170747172,0.795429278804436
"RP11-206L10.5",5.32719229789885,0.35861116928136,0.962805283211503,0.425269258059175,0.559376614205203
"RP11-206L10.2",28.8407879478514,1.00558757623927,1.13438515786236,0.102627150876866,0.188233518360633
"RP11-206L10.9",42.4282797788925,0.722950115262131,0.779947737249669,0.19475289450974,0.312060877606859
"FAM87B",3.16291103737161,-0.383149093940323,1.07315383961585,0.235424498422616,NA
"LINC00115",27.8530276969767,-0.312956971087636,0.852560030354851,0.529788756255102,0.655058342671176
"RP11-54O7.16",3.15210691760928,0.0433855219165181,0.930813696205173,0.905613844456642,NA
"RP11-54O7.1",33.513063161949,-0.344508998499495,0.904420816419963,0.472808052370031,0.604482527212117
"RP11-54O7.3",35.6567494680946,-1.13251254688586,0.886422846144675,0.063686396951554,0.128761326270899
"SAMD11",45.0149044706776,-0.623667340986485,1.04358224965311,0.21750128086905,0.340247655898626
"NOC2L",2524.23325581798,0.00497268932317005,0.431607816781708,0.989414590275623,0.993390360478762
"KLHL17",357.49706273868,-0.15939004688659,0.473130969571595,0.701049729091987,0.794749803161185
"PLEKHN1",27.9392075813372,-1.31283487057304,0.855759414467373,0.0337230597817157,0.0771952978079993
"C1orf170",6.29534788863178,-0.47702505473902,1.0877395237539,0.223633859028981,0.34769450556835
"RP11-54O7.17",4.04835581124727,-0.112981982892227,0.933343798885806,0.770336367121853,0.847398266144193
"HES4",148.035811752848,-1.10584701368923,1.35526316935201,0.0693929759762024,0.137790246999104
"ISG15",858.112504842439,-2.65349180634092,0.82387261006402,0.000123077899330193,0.000613683871660245
"AGRN",4261.5785904194,-0.0412471103457271,0.39052198316756,0.916226164507307,0.948110940436379
"RP11-54O7.18",6.32420730380516,0.0438753043235875,0.921325750117365,0.910046572847121,0.944290153494929
"C1orf159",278.541504534969,-0.98137009253723,0.375954367202353,0.00490170748245184,0.0154731913685398
"RP11-465B22.8",5.59697365802867,0.998279937336471,1.74168501095566,0.0248324041619828,0.0602799825764499
"TTLL10",3.40251396506969,0.438262374802735,1.12661392644561,0.144253740150197,NA
"TNFRSF18",10.2128092290577,0.62356559543965,0.985895489533171,0.245068513785611,0.37270965956574
"SDF4",3831.33012722303,-2.50480869323215,0.346357808716433,6.69352190345916e-14,1.62505342838367e-12
"B3GALT6",714.615854900568,-1.86482179019536,0.641232606385757,0.000670610333570803,0.00274500111511689
"FAM132A",35.0507278634423,0.18968958167117,0.728982538864168,0.714313297185348,0.805421260818828
"RP5-902P8.12",3.20373108176801,0.000708093500743206,0.962105226565413,0.998117226678365,NA
"UBE2J2",1040.83011847369,-0.865068359552861,0.405143181733443,0.0195159272913792,0.0493452609939441
"RP5-902P8.10",7.63013970604336,-0.281341416952965,0.962449437868124,0.491923455680924,0.622101181857719
"SCNN1D",59.693296009067,0.14552598219379,0.680439028850873,0.779193064772032,0.854012112161975
"ACAP3",675.068228884941,-1.4345905125888,0.413238457914617,0.000170955148666548,0.000824526306839464
"PUSL1",320.34255956779,-0.00856333606921361,0.467322193827793,0.983080996983167,0.990181240452784
"CPSF3L",1825.73847802347,-0.152481254012413,0.288839860976709,0.579631783213926,0.697870149914237
"GLTPD1",319.474510014275,-2.18231534006119,0.48579270242252,1.13634100165925e-06,8.80774434289098e-06
"TAS1R3",8.07446451163268,-0.455412508864098,0.953359767336727,0.352072716728165,0.487326934980356
"DVL1",1467.24647164142,-0.967544718218209,0.344935096502922,0.00277162447070407,0.00947397382252825
"MXRA8",5756.41285587972,-6.47325739603146,0.59025358772759,2.73178273041341e-29,3.36608022740665e-27
"AURKAIP1",1715.4834868927,-0.661360133322568,0.411241823540113,0.0771832183664318,0.149819389125174
"CCNL2",2830.68962021735,-1.00912756501697,0.323811218164734,0.000974590477358397,0.00382814032482043
"RP4-758J18.2",270.43279053046,0.0470991661711433,0.40247708739164,0.90183771392704,0.939218506052301
"MRPL20",1025.68674634675,-0.179179032734699,0.318585287127477,0.551799611440716,0.674242682185593
"RP4-758J18.13",86.4862239268143,-0.203618766444536,0.618608616302445,0.677545973908483,0.77702405849048
"ANKRD65",26.3646308394223,2.38961949826159,1.02710999486354,0.00227316731412498,0.00798404529111839
"RP4-758J18.7",4.72672965265176,0.942099565848461,1.64718710031013,0.0281889180135785,0.0667600925371944
"TMEM88B",7.3719354919946,0.408044517179989,1.11801090507998,0.130210651382803,0.22789080828647
"RP4-758J18.10",17.0673697598916,3.32337257757125,1.4600409300659,0.0024779572527514,0.00860083085361362
