"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","83/793","314/18614",9.17987373748589e-43,2.99555391379335e-39,2.09015608693949e-39,"COL16A1/CTSK/OLFML2B/DDR2/DPT/FMOD/TGFB2/AGT/EMILIN1/CYP1B1/LOXL3/FAP/COL3A1/COL5A2/COL7A1/COL8A1/ABI3BP/CCDC80/PTX3/PDGFRA/EGFLAM/ADAMTS6/LOX/TGFBI/ADAMTS2/FOXF2/FOXC1/ADTRP/TNXB/COL12A1/LAMA2/IL6/AEBP1/ELN/COL1A2/PLOD3/CAV2/CAV1/CSGALNACT1/BMP1/LOXL2/SULF1/EXT1/HAS2/ADAMTSL1/B4GALT1/ECM2/COL15A1/ENG/COL5A1/ADAMTS14/LOXL4/KAZALD1/CREB3L1/EFEMP2/MMP8/MMP1/MMP3/LUM/NTN4/POSTN/RGCC/GAS6/MMP14/NID2/FLRT2/FBLN5/GREM1/ANXA2/LOXL1/MMP2/FOXC2/ZNF469/MFAP4/COL1A1/CST3/COL5A3/COMP/TGFB1/BCL3/ADAMTS1/ADAMTS5/RUNX1",83
"GO:0043062","GO:0043062","extracellular structure organization","83/793","315/18614",1.19870104593571e-42,2.99555391379335e-39,2.09015608693949e-39,"COL16A1/CTSK/OLFML2B/DDR2/DPT/FMOD/TGFB2/AGT/EMILIN1/CYP1B1/LOXL3/FAP/COL3A1/COL5A2/COL7A1/COL8A1/ABI3BP/CCDC80/PTX3/PDGFRA/EGFLAM/ADAMTS6/LOX/TGFBI/ADAMTS2/FOXF2/FOXC1/ADTRP/TNXB/COL12A1/LAMA2/IL6/AEBP1/ELN/COL1A2/PLOD3/CAV2/CAV1/CSGALNACT1/BMP1/LOXL2/SULF1/EXT1/HAS2/ADAMTSL1/B4GALT1/ECM2/COL15A1/ENG/COL5A1/ADAMTS14/LOXL4/KAZALD1/CREB3L1/EFEMP2/MMP8/MMP1/MMP3/LUM/NTN4/POSTN/RGCC/GAS6/MMP14/NID2/FLRT2/FBLN5/GREM1/ANXA2/LOXL1/MMP2/FOXC2/ZNF469/MFAP4/COL1A1/CST3/COL5A3/COMP/TGFB1/BCL3/ADAMTS1/ADAMTS5/RUNX1",83
"GO:0045229","GO:0045229","external encapsulating structure organization","83/793","317/18614",2.03697757197363e-42,3.39360463490807e-39,2.36789708629777e-39,"COL16A1/CTSK/OLFML2B/DDR2/DPT/FMOD/TGFB2/AGT/EMILIN1/CYP1B1/LOXL3/FAP/COL3A1/COL5A2/COL7A1/COL8A1/ABI3BP/CCDC80/PTX3/PDGFRA/EGFLAM/ADAMTS6/LOX/TGFBI/ADAMTS2/FOXF2/FOXC1/ADTRP/TNXB/COL12A1/LAMA2/IL6/AEBP1/ELN/COL1A2/PLOD3/CAV2/CAV1/CSGALNACT1/BMP1/LOXL2/SULF1/EXT1/HAS2/ADAMTSL1/B4GALT1/ECM2/COL15A1/ENG/COL5A1/ADAMTS14/LOXL4/KAZALD1/CREB3L1/EFEMP2/MMP8/MMP1/MMP3/LUM/NTN4/POSTN/RGCC/GAS6/MMP14/NID2/FLRT2/FBLN5/GREM1/ANXA2/LOXL1/MMP2/FOXC2/ZNF469/MFAP4/COL1A1/CST3/COL5A3/COMP/TGFB1/BCL3/ADAMTS1/ADAMTS5/RUNX1",83
"GO:0030199","GO:0030199","collagen fibril organization","32/793","64/18614",3.7838705369441e-27,4.72794623591165e-24,3.29893765497258e-24,"DDR2/DPT/FMOD/TGFB2/EMILIN1/CYP1B1/LOXL3/COL3A1/COL5A2/LOX/ADAMTS2/FOXC1/TNXB/COL12A1/AEBP1/COL1A2/PLOD3/BMP1/LOXL2/EXT1/COL5A1/ADAMTS14/LOXL4/EFEMP2/LUM/GREM1/ANXA2/LOXL1/FOXC2/COL1A1/COL5A3/COMP",32
"GO:0001503","GO:0001503","ossification","73/793","429/18614",1.35150109454133e-24,1.35096049410351e-21,9.42636447624301e-22,"CSF1/ECM1/CTSK/THBS3/DDR2/PTGS2/CRIM1/SLC8A1/FHL2/TNFAIP6/COL5A2/IGFBP5/TWIST2/PPARG/WNT5A/BMPR1B/SGMS2/HAND2/VEGFC/ANKH/PTGER4/IL6ST/MEF2C/LOX/FBN2/PDLIM7/FOXC1/SCUBE3/RUNX2/TWIST1/IL6/IGFBP3/EGFR/HGF/FZD1/COL1A2/CSGALNACT1/BMP1/CEBPD/SNAI2/PENK/OSR2/CTHRC1/EXT1/ASPN/TNC/DKK1/SRGN/KAZALD1/IGF2/CREB3L1/LTBP3/TCIRG1/MGP/VDR/TMEM119/MMP14/GREM1/ITGA11/SEMA7A/MMP2/CDH11/FOXC2/COL1A1/MRC2/GDF5/ZHX3/FSTL3/JUNB/COMP/CLEC11A/MAPK11/COL6A1",73
"GO:0032963","GO:0032963","collagen metabolic process","37/793","108/18614",5.49713521638581e-24,4.57911363524938e-21,3.19508929331337e-21,"CTSK/DDR2/EMILIN1/FAP/MIR145/PDGFRB/ADAMTS2/TNXB/TRAM2/IL6/INHBA/COL1A2/PCOLCE/PLOD3/MIR29A/CTSB/CTSL/ENG/COL5A1/VIM/ADAMTS14/CREB3L1/MMP8/MMP1/MMP3/RGCC/MMP14/TGFB3/MMP2/MFAP4/COL1A1/MRC2/CYGB/CST3/TGFB1/RCN3/RUNX1",37
"GO:0048705","GO:0048705","skeletal system morphogenesis","52/793","229/18614",1.03398936557118e-23,7.38268407017819e-21,5.1512883731388e-21,"TBX15/THBS3/PRRX1/PAPPA2/DLX2/HOXD8/HOXD3/COL3A1/TGFBR2/MSX1/PDGFRA/BMPR1B/HHIP/GHR/MEF2C/FBN2/FOXC1/RUNX2/TWIST1/HOXA3/HOXA4/HOXA5/HOXA9/HOXA11/SFRP4/CSGALNACT1/BMP1/OSR2/EXT1/HAS2/ZEB1/ARID5B/ALX4/LTBP3/MGP/HOXC9/TMEM119/MMP14/SIX1/TGFB3/GSC/GREM1/MMP2/FOXC2/HOXB2/HOXB3/HOXB4/HOXB5/HOXB7/HOXB9/COL1A1/COMP",52
"GO:0001667","GO:0001667","ameboidal-type cell migration","75/793","496/18614",5.16479588959181e-22,3.22670623202248e-19,2.25144326081811e-19,"JUN/GADD45A/DDR2/PTGS2/TGFB2/DUSP10/AGT/CYP1B1/SLC8A1/PRKCE/ATOH8/ZEB2/FAP/ITGA4/FN1/TNS1/SCG2/SP100/PPARG/TGFBR2/WNT5A/GATA2/SLIT2/PITX2/HAND2/VEGFC/GDNF/MEF2C/MIR145/SPARC/ADTRP/DAAM2/TPBG/MEOX2/TWIST1/BMPER/HSPB1/SEMA3C/MIR29A/TIMP1/LOXL2/ADAM9/SNAI2/ANGPT1/ENPP2/HAS2/PRSS3/ANXA1/KLF4/NRP1/VSTM4/ARID5B/ACTA2/LPXN/CD248/ARHGDIB/ACVRL1/DCN/STARD13/RGCC/CLEC14A/GREM1/THBS1/FGF7/SEMA7A/CDH13/FOXC2/SERPINF1/CYGB/PTPRM/CCBE1/RIN2/SYDE1/TGFB1/RRAS",75
"GO:0061448","GO:0061448","connective tissue development","54/793","275/18614",2.0663486568501e-21,1.14751228743742e-18,8.00679894753727e-19,"CSF1/ECM1/CTSK/THBS3/PRRX1/CHI3L1/EFEMP1/DLX2/HOXD3/COL3A1/PPARG/TGFBR2/WNT5A/MSX1/BMPR1B/HAND2/GHR/FOXD1/MEF2C/LOX/PITX1/TGFBI/PDGFRB/RUNX2/HOXA3/HOXA5/HOXA11/TIMP1/BGN/CSGALNACT1/BMP1/LOXL2/SNAI2/SULF1/GDF6/OSR2/EXT1/OGN/COL5A1/ZEB1/ARID5B/ACTA2/CD44/LTBP3/WNT5B/MGP/ACVRL1/GREM1/FOXC2/HOXB3/COL1A1/GDF5/COMP/TGFB1",54
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","65/793","398/18614",5.26163060063953e-21,2.62976297419964e-18,1.83492443999145e-18,"NBL1/JUN/FMOD/TGFB2/GREM2/EMILIN1/LTBP1/CRIM1/ATOH8/ZEB2/TNFAIP6/COL3A1/PPARG/TGFBR2/WNT5A/MSX1/HTRA3/BMPR1B/DAB2/FOXD1/LOX/FBN2/HFE/TNXB/SCUBE3/RUNX2/CD109/BMPER/SFRP4/INHBA/FZD1/COL1A2/CAV2/CAV1/GATA4/ZNF703/ADAM9/SULF1/GDF6/EXT1/CDKN2B/ASPN/ENG/VIM/ZEB1/DKK1/HTRA1/DKK3/LPXN/LTBP3/LRRC32/ACVRL1/LTBP2/TGFB3/GREM1/THBS1/FBN1/VASN/TGFB1I1/GATA6/GDF5/FSTL3/GDF15/COMP/TGFB1",65
