"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","94/1316","433/18614",3.21022916862687e-23,1.70206350520596e-19,1.48413963248518e-19,"GABRD/PRKCZ/GRIK3/RIMS3/CLDN19/GJA5/CHRNB2/KCNJ10/ATP1A2/NOS1AP/RYR2/KCNK12/NRXN1/KCNH7/KCNH8/SCN5A/CACNA1D/IGSF11/TMEM108/GABRG1/KDR/SNCA/GRID2/HCN1/RGS7BP/KCNN2/GABRB2/GABRA1/GABRG2/GABRP/KCNK5/KCNK17/CNR1/TRDN/CFTR/KCND2/KCNH2/NLGN4X/NLGN3/TRPC5/FGF13/GABRA3/GABRQ/RIMS2/KCNK9/GNA14/PTPN3/GRIN1/STOX1/DRD4/KCNQ1/KCNJ11/P2RX3/CNIH2/UCP2/GRIA4/HTR3A/SCN4B/GRIK4/GRIN2B/PKP2/KCNH3/CUX2/P2RX2/KCNK10/TCL1A/GABRB3/CHRNA7/HCN4/CHRNA5/CHRNA3/CHRNB4/CACNA1H/CBLN1/ATP1B2/SEZ6/ASIC2/MPP2/KCNH6/SCN4A/DSC2/DSG2/CELF4/NETO1/RIMS4/CHRNA4/BEST2/SLC1A6/HSH2D/ATP1A3/GRIK5/SLC8A2/MYH14/CXADR",94
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","96/1316","487/18614",1.5842563002092e-20,3.25445324505196e-17,2.83776899526856e-17,"PRKCZ/FBXO2/DLGAP3/GRIK3/RIMS3/CHRNB2/KCNJ10/ATP1A2/CNTN2/NRXN1/LRRTM1/SLC4A10/CSPG5/CAMKV/GRM2/ERC2/IGSF11/TMEM108/P2RY1/NSG1/NMU/SNCA/GRID2/NPY5R/HCN1/TUBB2B/GRM4/LRFN2/CNR1/EPHA7/GRID2IP/ADCY1/GRM3/PPP1R9A/NPTX2/VGF/PRKAR2B/GRM8/LRRC4/NLGN4X/CDKL5/SYP/NLGN3/CHRDL1/DLGAP2/CA2/CALB1/RIMS2/ADCY8/SLC24A2/GRIN1/CACNA1B/NRG3/SORCS3/P2RX3/CNIH2/SYT12/SHANK2/GRIA4/GRIK4/GRIN2B/SYT1/CUX2/PCDH8/JPH4/AKAP5/CHRNA7/CHRNA5/CHRNA3/CHRNB4/SV2B/BAIAP3/SHISA9/PRKCB/CBLN1/CX3CL1/CA7/CDH1/JPH3/SHISA6/HAP1/MPP2/CACNG5/CACNG4/NPTX1/DLGAP1/CELF4/SYT4/NETO1/RIMS4/GRIK5/APOE/SLC8A2/PRKCG/SHISA7/SYN3",96
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","96/1316","488/18614",1.84144846004449e-20,3.25445324505196e-17,2.83776899526856e-17,"PRKCZ/FBXO2/DLGAP3/GRIK3/RIMS3/CHRNB2/KCNJ10/ATP1A2/CNTN2/NRXN1/LRRTM1/SLC4A10/CSPG5/CAMKV/GRM2/ERC2/IGSF11/TMEM108/P2RY1/NSG1/NMU/SNCA/GRID2/NPY5R/HCN1/TUBB2B/GRM4/LRFN2/CNR1/EPHA7/GRID2IP/ADCY1/GRM3/PPP1R9A/NPTX2/VGF/PRKAR2B/GRM8/LRRC4/NLGN4X/CDKL5/SYP/NLGN3/CHRDL1/DLGAP2/CA2/CALB1/RIMS2/ADCY8/SLC24A2/GRIN1/CACNA1B/NRG3/SORCS3/P2RX3/CNIH2/SYT12/SHANK2/GRIA4/GRIK4/GRIN2B/SYT1/CUX2/PCDH8/JPH4/AKAP5/CHRNA7/CHRNA5/CHRNA3/CHRNB4/SV2B/BAIAP3/SHISA9/PRKCB/CBLN1/CX3CL1/CA7/CDH1/JPH3/SHISA6/HAP1/MPP2/CACNG5/CACNG4/NPTX1/DLGAP1/CELF4/SYT4/NETO1/RIMS4/GRIK5/APOE/SLC8A2/PRKCG/SHISA7/SYN3",96
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","92/1316","478/18614",5.46688987142621e-19,7.24636252457544e-16,6.31857376718524e-16,"CATSPER4/KCNQ4/KCNJ10/ATP1A2/NOS1AP/CACNA1E/RYR2/KCNF1/KCNG3/KCNK12/LHCGR/DPP10/TMEM37/KCNH7/KCNH8/SCN5A/CACNA2D2/CACNA1D/SNCA/HCN1/KCNN2/KCNK5/KCNK17/TRDN/ADCYAP1R1/RAMP3/CALCR/EPO/CFTR/KCND2/KEL/KCNH2/DPP6/CACNA1F/WNK3/NLGN3/FGF13/OPRK1/LYN/CHD7/KCNB2/JPH1/TMEM74/TMC1/WNK2/PTPN3/GRIN1/CACNA1B/ANO9/DRD4/KCNQ1/KCNJ11/ABCC8/LRRC55/P2RX3/FXYD6/SCN4B/KCNA6/PTPN6/GRIN2B/KCNH3/TESC/NOS1/CABP1/P2RX2/JPH4/AKAP5/KCNK10/HCN4/CACNA1H/CHP2/CX3CL1/PLCG2/JPH3/FGF11/ATP1B2/ASIC2/STAC2/HAP1/CRHR1/KCNH6/SCN4A/CACNG4/NETO1/KCNS1/MMP9/KCNQ2/FXYD7/ATP4A/KCNC3/KCNJ4/CACNA1I",92
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","62/1316","278/18614",2.67246121817767e-16,2.8338778757556e-13,2.47104203583922e-13,"IGSF21/CLDN19/CELSR2/IGSF9/CNTN2/CELSR3/CADM2/IGSF11/SLITRK3/GRID2/CDH9/PCDHA1/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA8/PCDHA9/PCDHA10/PCDHA11/PCDHA12/PCDHAC1/PCDHAC2/PCDHB5/PCDHB12/PCDHB13/PCDHB15/PCDH1/CLDN3/LRRC4/PCDH11X/TENM1/GPC4/SLITRK2/UNC5D/CRB2/HMCN2/RET/CDH23/CDHR1/FAT3/MPZL2/PCDH8/CLDN10/CLDN9/CLDN6/ITGAM/CBLN1/CX3CL1/CDH3/CDH1/CLDN7/SDK2/DSC2/DSG2/CDH7/MMP24/PTPRT/CDH26/LRRC4B/CELSR1/CXADR",62
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","43/1316","148/18614",4.71448814152436e-16,4.16603602106036e-13,3.63263717852193e-13,"GABRD/PRKCZ/GRIK3/CHRNB2/NRXN1/IGSF11/TMEM108/GABRG1/SNCA/GRID2/HCN1/RGS7BP/GABRB2/GABRA1/GABRG2/GABRP/KCND2/NLGN4X/NLGN3/GABRA3/GABRQ/RIMS2/GRIN1/DRD4/P2RX3/HTR3A/GRIK4/GRIN2B/CUX2/P2RX2/GABRB3/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CBLN1/SEZ6/MPP2/CELF4/NETO1/CHRNA4/GRIK5/SLC8A2",43
"GO:0060079","GO:0060079","excitatory postsynaptic potential","37/1316","124/18614",2.07018168303767e-14,1.56801475478082e-11,1.3672538273536e-11,"GABRD/PRKCZ/CHRNB2/NRXN1/IGSF11/TMEM108/GABRG1/SNCA/GRID2/GABRB2/GABRA1/GABRG2/GABRP/NLGN4X/NLGN3/GABRA3/GABRQ/RIMS2/GRIN1/P2RX3/HTR3A/GRIN2B/CUX2/P2RX2/GABRB3/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CBLN1/SEZ6/MPP2/CELF4/NETO1/CHRNA4/GRIK5/SLC8A2",37
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","38/1316","132/18614",3.31984029828269e-14,2.20022415768685e-11,1.91851823553389e-11,"GABRD/PRKCZ/CHRNB2/NRXN1/IGSF11/TMEM108/GABRG1/SNCA/GRID2/GABRB2/GABRA1/GABRG2/GABRP/NLGN4X/NLGN3/GABRA3/GABRQ/RIMS2/GRIN1/DRD4/P2RX3/HTR3A/GRIN2B/CUX2/P2RX2/GABRB3/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CBLN1/SEZ6/MPP2/CELF4/NETO1/CHRNA4/GRIK5/SLC8A2",38
"GO:0034329","GO:0034329","cell junction assembly","77/1316","444/18614",1.49293601295738e-13,8.79505193411112e-11,7.66897657182315e-11,"GJA4/CLDN19/GJA5/CHRNB2/F11R/NRXN1/ADD2/LRRTM1/ITGA6/FZD5/RAB17/LRRN1/LHFPL4/ILDR1/SLITRK3/LGI2/KDR/SNCA/GRID2/UGT8/TLR2/CTNND2/CDH9/MARVELD2/OCLN/PCDHB5/PCDHB13/GABRB2/GABRA1/GABRG2/EPHA7/CLDN3/PCLO/LRRC4/CNTNAP2/NLGN4X/GPM6B/NLGN3/GPC4/FGF13/SLITRK2/SFRP1/GRHL2/SEMA4D/C1QL3/MPP7/LRRTM3/NRG3/SORBS1/PKP3/SPTBN2/SHANK2/PKP2/CUX2/SLITRK5/CLDN10/GABRB3/CLDN9/CLDN6/CBLN1/CDH3/CDH1/MARVELD3/CLDN7/ARHGEF15/ASIC2/SDK2/NPTX1/CDH7/PARD6B/CDH26/CRB3/CAMSAP3/HAPLN4/LSR/NPHS1/LRRC4B",77
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","42/1316","168/18614",3.09834894924869e-13,1.64274461289165e-10,1.43241564053687e-10,"IGSF21/CELSR2/IGSF9/CNTN2/CELSR3/CADM2/IGSF11/CDH9/PCDHA1/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA8/PCDHA9/PCDHA10/PCDHA11/PCDHA12/PCDHAC1/PCDHAC2/PCDHB5/PCDHB12/PCDHB13/PCDHB15/PCDH1/PCDH11X/HMCN2/RET/CDH23/CDHR1/FAT3/MPZL2/PCDH8/CDH3/CDH1/SDK2/DSC2/DSG2/CDH7/PTPRT/CDH26/CELSR1",42
