"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RP11-34P13.7",2.63512167563176,-0.00430258037728921,0.971699738917195,0.982677662760718,0.990289699248351
"AL627309.1",171.142694916397,6.36726750539179,0.798373727903347,5.76870872426635e-16,1.94913048838992e-14
"RP11-34P13.14",4.7083731568182,0.672366696253036,1.31971597679532,0.0483039517868395,0.106904845963606
"AP006222.2",2.3006218214086,-0.0295603476289003,0.966252886465793,0.913868068478605,0.946996095452985
"RP4-669L17.10",19.7177808240818,2.45530480649735,1.71796194095128,0.009758007300481,0.0285215548607146
"RP11-206L10.3",12.3845454315891,0.990209531677141,1.32061849947843,0.0916743607302544,0.17688745021113
"RP11-206L10.5",5.32719229789885,0.407193059470675,0.981889926731535,0.371894975946163,0.510181450547922
"RP11-206L10.2",28.8407879478514,1.7660828255129,1.44591992247099,0.0236939984425502,0.0596922706119524
"RP11-206L10.9",42.4282797788925,0.700495516909035,0.773497170818813,0.206468759963887,0.330064858276377
"FAM87B",3.16291103737161,-0.0447568349663367,0.942010529828982,0.891139184911353,0.932079729394264
"LINC00115",27.8530276969767,-0.192336150948571,0.825648076526604,0.692904957705668,0.7920097072
"RP11-54O7.16",3.15210691760928,0.477188286889835,1.06276789128644,0.25655626300586,0.387978963603042
"RP11-54O7.1",33.513063161949,-0.463576363641577,0.952305715695338,0.345526539822952,0.484395738507262
"RP11-54O7.3",35.6567494680946,-0.36849229517545,0.706378020212153,0.475554990517006,0.610757938856276
"SAMD11",45.0149044706776,-1.24661509888868,1.61465310082757,0.0463722611266426,0.103528265443137
"NOC2L",2524.23325581798,-0.115250496503798,0.432618749547672,0.767349791897771,0.846688057942128
"KLHL17",357.49706273868,0.0318733426528007,0.47060997700156,0.943378454525825,0.965336270766326
"PLEKHN1",27.9392075813372,-0.273570216191497,0.656387847329262,0.584334618636715,0.705480760530842
"C1orf170",6.29534788863178,-0.0449775195190912,0.91418598366467,0.903118631711112,0.939726900965412
"RP11-54O7.17",4.04835581124727,-0.00533890325340489,0.921234085153045,0.984000106516993,0.991006606467693
"HES4",148.035811752848,-0.462552140400359,0.92516937505053,0.356669279973008,0.495180718321177
"ISG15",858.112504842439,-2.60650315670287,0.822453817117833,0.000157977559598207,0.000794415684921408
"AGRN",4261.5785904194,0.566318234843367,0.399937416864671,0.119762150708904,0.217857069357659
"RP11-54O7.18",6.32420730380516,0.567194828096144,1.13241263662516,0.184204286072266,0.30263941295928
"C1orf159",278.541504534969,-0.701012119474089,0.367263000702839,0.0397729220077207,0.0912886894473896
"RP11-465B22.8",5.59697365802867,0.944782521088321,1.63758980649301,0.0302788913572389,0.0729746084834072
"TTLL10",3.40251396506969,0.483866911850414,1.16521466823285,0.0932147533464196,0.179267793945789
"TNFRSF18",10.2128092290577,1.63826512476479,1.52839522443417,0.0327121556876836,0.077732016074958
"SDF4",3831.33012722303,-2.75171492183086,0.346143513088758,2.36714304050572e-16,8.32155211518958e-15
"B3GALT6",714.615854900568,-2.34714941207412,0.644742634601179,3.54007614829082e-05,0.000207861271906398
"FAM132A",35.0507278634423,0.450135839484864,0.768747145520664,0.399992938190601,0.538012726822131
"RP5-902P8.12",3.20373108176801,0.0175564534848636,0.96155631396656,0.960920544044517,0.976442321164046
"UBE2J2",1040.83011847369,-0.904314238836565,0.405888646199298,0.014801023463077,0.0405058346748548
"RP5-902P8.10",7.63013970604336,-0.171927356576769,0.926485781944684,0.673297554654094,0.77768571813764
