"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","74/700","314/18614",3.38080934460631e-38,1.02993218786389e-34,7.48604372386882e-35,"COL16A1/COL8A2/CTSK/OLFML2B/DPT/FMOD/TGFB2/AGT/EMILIN1/CYP1B1/FAP/COL3A1/COL5A2/COL8A1/ABI3BP/CCDC80/PTX3/PDGFRA/EGFLAM/LOX/TGFBI/ADAMTS2/FOXF2/FOXC1/ADTRP/COL12A1/IL6/AEBP1/ELN/COL1A2/CAV2/CAV1/CSGALNACT1/BMP1/LOXL2/SULF1/HAS2/ADAMTSL1/B4GALT1/ECM2/COL15A1/ENG/COL5A1/LOXL4/KAZALD1/CREB3L1/EFEMP2/MMP8/MMP1/MMP3/LUM/NTN4/POSTN/RGCC/GAS6/MMP14/NID2/FLRT2/FBLN5/GREM1/ANXA2/LOXL1/MMP2/FOXC2/ZNF469/MFAP4/FKBP10/COL1A1/CST3/COL5A3/TGFB1/ADAMTS1/ADAMTS5/RUNX1",74
"GO:0043062","GO:0043062","extracellular structure organization","74/700","315/18614",4.27003394636769e-38,1.02993218786389e-34,7.48604372386882e-35,"COL16A1/COL8A2/CTSK/OLFML2B/DPT/FMOD/TGFB2/AGT/EMILIN1/CYP1B1/FAP/COL3A1/COL5A2/COL8A1/ABI3BP/CCDC80/PTX3/PDGFRA/EGFLAM/LOX/TGFBI/ADAMTS2/FOXF2/FOXC1/ADTRP/COL12A1/IL6/AEBP1/ELN/COL1A2/CAV2/CAV1/CSGALNACT1/BMP1/LOXL2/SULF1/HAS2/ADAMTSL1/B4GALT1/ECM2/COL15A1/ENG/COL5A1/LOXL4/KAZALD1/CREB3L1/EFEMP2/MMP8/MMP1/MMP3/LUM/NTN4/POSTN/RGCC/GAS6/MMP14/NID2/FLRT2/FBLN5/GREM1/ANXA2/LOXL1/MMP2/FOXC2/ZNF469/MFAP4/FKBP10/COL1A1/CST3/COL5A3/TGFB1/ADAMTS1/ADAMTS5/RUNX1",74
"GO:0045229","GO:0045229","external encapsulating structure organization","74/700","317/18614",6.79185217760146e-38,1.09212983015832e-34,7.93812617669841e-35,"COL16A1/COL8A2/CTSK/OLFML2B/DPT/FMOD/TGFB2/AGT/EMILIN1/CYP1B1/FAP/COL3A1/COL5A2/COL8A1/ABI3BP/CCDC80/PTX3/PDGFRA/EGFLAM/LOX/TGFBI/ADAMTS2/FOXF2/FOXC1/ADTRP/COL12A1/IL6/AEBP1/ELN/COL1A2/CAV2/CAV1/CSGALNACT1/BMP1/LOXL2/SULF1/HAS2/ADAMTSL1/B4GALT1/ECM2/COL15A1/ENG/COL5A1/LOXL4/KAZALD1/CREB3L1/EFEMP2/MMP8/MMP1/MMP3/LUM/NTN4/POSTN/RGCC/GAS6/MMP14/NID2/FLRT2/FBLN5/GREM1/ANXA2/LOXL1/MMP2/FOXC2/ZNF469/MFAP4/FKBP10/COL1A1/CST3/COL5A3/TGFB1/ADAMTS1/ADAMTS5/RUNX1",74
"GO:0001503","GO:0001503","ossification","65/700","429/18614",4.12868851851166e-22,4.97919835332507e-19,3.61912143556904e-19,"CSF1/ECM1/CTSK/PTGS2/CRIM1/FHL2/TNFAIP6/COL5A2/IGFBP5/TWIST2/PPARG/WNT5A/SGMS2/HAND2/VEGFC/ANKH/PTGER4/IL6ST/LOX/FBN2/FOXC1/SCUBE3/RUNX2/TWIST1/IL6/IGFBP3/HGF/FZD1/COL1A2/CSGALNACT1/BMP1/CEBPD/SNAI2/PENK/OSR2/CTHRC1/ASPN/TNC/DKK1/SRGN/KAZALD1/IGF2/CREB3L1/LTBP3/MGP/PTHLH/VDR/TMEM119/MMP14/GREM1/ITGA11/SEMA7A/MMP2/CDH11/FOXC2/COL1A1/MRC2/GDF5/ZHX3/FSTL3/JUNB/CLEC11A/WNT7B/MAPK11/COL6A1",65
"GO:0030199","GO:0030199","collagen fibril organization","26/700","64/18614",8.97224818769953e-21,8.15505988751134e-18,5.92749072298601e-18,"DPT/FMOD/TGFB2/EMILIN1/CYP1B1/COL3A1/COL5A2/LOX/ADAMTS2/FOXC1/COL12A1/AEBP1/COL1A2/BMP1/LOXL2/COL5A1/LOXL4/EFEMP2/LUM/GREM1/ANXA2/LOXL1/FOXC2/FKBP10/COL1A1/COL5A3",26
"GO:0061448","GO:0061448","connective tissue development","50/700","275/18614",1.0143109312825e-20,8.15505988751134e-18,5.92749072298601e-18,"CSF1/ECM1/CTSK/PRRX1/EFEMP1/HOXD3/COL3A1/PPARG/RARB/TGFBR2/WNT5A/MSX1/HAND2/FOXD1/LOX/PITX1/TGFBI/PDGFRB/RUNX2/SCIN/HOXA3/HOXA5/HOXA11/TIMP1/BGN/CSGALNACT1/BMP1/LOXL2/SNAI2/SULF1/GDF6/OSR2/OGN/COL5A1/ZEB1/ARID5B/ACTA2/CD44/LTBP3/WNT5B/MGP/PTHLH/ACVRL1/GREM1/FOXC2/HOXB3/COL1A1/GDF5/TGFB1/WNT7B",50
"GO:0032963","GO:0032963","collagen metabolic process","32/700","108/18614",2.30151946911367e-20,1.58607570271491e-17,1.15283629347634e-17,"CTSK/EMILIN1/FAP/MIR145/PDGFRB/ADAMTS2/TRAM2/IL6/INHBA/COL1A2/PCOLCE/MIR29A/CTSB/CTSL/ENG/COL5A1/VIM/CREB3L1/MMP8/MMP1/MMP3/RGCC/MMP14/TGFB3/MMP2/MFAP4/COL1A1/MRC2/CST3/TGFB1/RCN3/RUNX1",32
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","55/700","345/18614",6.72549847110955e-20,4.05547557807906e-17,2.94771518516657e-17,"NBL1/AGT/GREM2/EMILIN1/LTBP1/CRIM1/ZEB2/TNFAIP6/GPC1/PPARG/WNT5A/MSX1/HTRA3/SLIT2/HHIP/VEGFC/DAB2/FOXD1/LOX/FBN2/FGF1/SCUBE3/RUNX2/CD109/BMPER/SFRP4/FZD1/CAV2/CAV1/ZNF703/SULF1/CDKN2B/ASPN/ENG/ZEB1/NRP1/DKK1/HTRA1/DKK3/CREB3L1/FAM89B/ACVRL1/ITGA5/DCN/TGFB3/GREM1/THBS1/FBN1/TMEM204/VASN/TGFB1I1/GATA6/GDF5/FSTL3/TGFB1",55
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","58/700","398/18614",5.33535684429482e-19,2.85975126854202e-16,2.07860510506971e-16,"NBL1/FMOD/TGFB2/GREM2/EMILIN1/LTBP1/CRIM1/ATOH8/ZEB2/TNFAIP6/COL3A1/PPARG/TGFBR2/WNT5A/MSX1/HTRA3/DAB2/FOXD1/LOX/FBN2/SCUBE3/RUNX2/CD109/BMPER/SFRP4/INHBA/FZD1/COL1A2/CAV2/CAV1/ZNF703/ADAM9/SULF1/GDF6/CDKN2B/ASPN/ENG/VIM/ZEB1/DKK1/HTRA1/DKK3/LPXN/LTBP3/FAM89B/LRRC32/ACVRL1/LTBP2/TGFB3/GREM1/THBS1/FBN1/VASN/TGFB1I1/GATA6/GDF5/FSTL3/TGFB1",58
"GO:0051216","GO:0051216","cartilage development","41/700","203/18614",6.28571507438577e-19,3.03222895188369e-16,2.20397020134516e-16,"ECM1/CTSK/PRRX1/EFEMP1/HOXD3/COL3A1/RARB/TGFBR2/WNT5A/MSX1/HAND2/PITX1/TGFBI/RUNX2/SCIN/HOXA3/HOXA5/HOXA11/TIMP1/BGN/CSGALNACT1/BMP1/LOXL2/SNAI2/SULF1/GDF6/OSR2/OGN/ZEB1/CD44/LTBP3/WNT5B/MGP/PTHLH/ACVRL1/GREM1/HOXB3/COL1A1/GDF5/TGFB1/WNT7B",41
