"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042391","GO:0042391","regulation of membrane potential","95/1403","433/18614",8.23045153120973e-22,2.04668880922136e-18,1.78115416975653e-18,"GABRD/PRKCZ/GRIK3/RIMS3/CLDN19/GJA5/KCNJ10/ATP1A2/NOS1AP/RYR2/FKBP1B/KCNK12/NRXN1/KCNH7/KCNH8/SCN5A/IGSF11/TMEM108/GABRG1/KDR/SNCA/GRID2/GLRA3/HCN1/RGS7BP/KCNN2/GABRB2/GABRA1/GABRG2/GABRP/KCNK5/KCNK17/CNR1/TRDN/GRM1/CFTR/KCNH2/NLGN4X/NLGN3/TRPC5/FGF13/GABRA3/GABRQ/ADRA1A/RIMS2/GNA14/PTPN3/GRIN1/ANK3/CTNNA3/STOX1/KCNQ1/KCNJ11/P2RX3/UCP2/GRIA4/HTR3A/SCN4B/GRIK4/GRIN2B/PKP2/KCNH3/CUX2/P2RX2/KCNK10/SLC24A4/TCL1A/GABRB3/CHRNA7/HCN4/CHRNA5/CHRNA3/CHRNB4/CACNA1H/CBLN1/ATP1B2/SEZ6/ASIC2/MPP2/KCNH6/SCN4A/DSC2/DSG2/CELF4/NETO1/RIMS4/CHRNA4/BEST2/SLC1A6/HSH2D/ATP1A3/GRIK5/SLC8A2/MYH14/CXADR",95
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","102/1403","487/18614",9.6951218131969e-22,2.04668880922136e-18,1.78115416975653e-18,"PRKCZ/FBXO2/DLGAP3/GRIK3/RIMS3/KCNJ10/ATP1A2/CNTN2/NRXN1/LRRTM1/SLC4A10/SLC6A1/CSPG5/CAMKV/GRM2/ERC2/IGSF11/TMEM108/P2RY1/NSG1/NMU/SNCA/GRID2/NPY5R/HCN1/RASGRF2/TUBB2B/GRM4/LRFN2/CNR1/EPHA7/GRM1/GRID2IP/ADCY1/GRM3/PPP1R9A/NPTX2/VGF/PRKAR2B/GRM8/LRRC4/NLGN4X/CDKL5/SYP/NLGN3/CHRDL1/DLGAP2/ADRA1A/CA2/CALB1/RIMS2/ADCY8/SLC24A2/GRIN1/CACNA1B/NRG3/INA/SORCS3/P2RX3/SYT12/SHANK2/GRIA4/GRIK4/GRIN2B/SYT1/CUX2/PCDH8/JPH4/AKAP5/CHRNA7/CHRNA5/CHRNA3/CHRNB4/SV2B/BAIAP3/SHISA9/PRKCB/CBLN1/CX3CL1/CA7/CDH1/JPH3/SHISA6/ARHGAP44/HAP1/MPP2/CACNG5/CACNG4/NPTX1/DLGAP1/CELF4/SYT4/NETO1/RIMS4/RAB3A/SLC7A10/GRIK5/APOE/SLC8A2/PRKCG/SHISA7/SYN3",102
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","102/1403","488/18614",1.13894758443036e-21,2.04668880922136e-18,1.78115416975653e-18,"PRKCZ/FBXO2/DLGAP3/GRIK3/RIMS3/KCNJ10/ATP1A2/CNTN2/NRXN1/LRRTM1/SLC4A10/SLC6A1/CSPG5/CAMKV/GRM2/ERC2/IGSF11/TMEM108/P2RY1/NSG1/NMU/SNCA/GRID2/NPY5R/HCN1/RASGRF2/TUBB2B/GRM4/LRFN2/CNR1/EPHA7/GRM1/GRID2IP/ADCY1/GRM3/PPP1R9A/NPTX2/VGF/PRKAR2B/GRM8/LRRC4/NLGN4X/CDKL5/SYP/NLGN3/CHRDL1/DLGAP2/ADRA1A/CA2/CALB1/RIMS2/ADCY8/SLC24A2/GRIN1/CACNA1B/NRG3/INA/SORCS3/P2RX3/SYT12/SHANK2/GRIA4/GRIK4/GRIN2B/SYT1/CUX2/PCDH8/JPH4/AKAP5/CHRNA7/CHRNA5/CHRNA3/CHRNB4/SV2B/BAIAP3/SHISA9/PRKCB/CBLN1/CX3CL1/CA7/CDH1/JPH3/SHISA6/ARHGAP44/HAP1/MPP2/CACNG5/CACNG4/NPTX1/DLGAP1/CELF4/SYT4/NETO1/RIMS4/RAB3A/SLC7A10/GRIK5/APOE/SLC8A2/PRKCG/SHISA7/SYN3",102
"GO:0034765","GO:0034765","regulation of monoatomic ion transmembrane transport","93/1403","478/18614",1.12603673862101e-17,1.51761601447647e-14,1.32072256421943e-14,"CLCNKA/CLCNKB/CATSPER4/KCNQ4/KCNJ10/ATP1A2/NOS1AP/CACNA1E/RYR2/KCNF1/FKBP1B/KCNG3/KCNK12/LHCGR/DPP10/TMEM37/KCNH7/KCNH8/SCN5A/CACNA2D2/SNCA/HCN1/KCNN2/KCNK5/KCNK17/TRDN/ADCYAP1R1/RAMP3/CALCR/CFTR/KCNH2/DPP6/CACNA1F/WNK3/NLGN3/FGF13/OPRK1/LYN/CHD7/KCNB2/JPH1/TMEM74/TMC1/WNK2/PTPN3/GRIN1/CACNA1B/ANK3/ANO9/KCNQ1/KCNJ11/ABCC8/LRRC55/P2RX3/FXYD6/SCN4B/KCNA6/PTPN6/GRIN2B/KCNH3/TESC/NOS1/CABP1/P2RX2/JPH4/AKAP5/KCNK10/HCN4/CACNA1H/CHP2/CD19/CX3CL1/PLCG2/JPH3/FGF11/ATP1B2/ASIC2/STAC2/HAP1/CRHR1/KCNH6/SCN4A/CACNG4/NETO1/KCNS1/MMP9/KCNQ2/FXYD7/ATP4A/KCNC3/KCNJ4/CACNA1I/CLIC6",93
"GO:0050808","GO:0050808","synapse organization","89/1403","466/18614",1.92555011282414e-16,2.07612813164699e-13,1.80677407428573e-13,"IGSF21/DLGAP3/EFNA1/SEMA4A/BCAN/IGSF9/NOS1AP/PPFIA4/CNTN2/NRXN1/ADD2/CTNNA2/LRRTM1/C1QL2/FZD5/RAB17/KIF1A/LRRN1/LHFPL4/SLC6A1/BSN/CAMKV/ERC2/TMEM108/SLITRK3/LGI2/SNCA/GRID2/TLR2/CTNND2/CDH9/PCDHB13/GABRB2/GABRA1/GABRG2/SNCB/LRFN2/EPHA7/PCLO/CTTNBP2/LRRC4/NLGN4X/CDKL5/CNKSR2/NLGN3/ZDHHC15/CHRDL1/PAK3/GPC4/FGF13/SLITRK2/SEMA4D/HMCN2/C1QL3/ANK3/SPOCK2/NRG3/INA/SPTBN2/SHANK2/GRIN2B/CUX2/P2RX2/PCDH8/SLITRK5/SPTB/RPS6KA5/GABRB3/CHRNA7/ITGAM/CBLN1/CX3CL1/CDH1/ARHGEF15/SHISA6/ARHGAP44/SEZ6/ASIC2/SRCIN1/C1QL1/SDK2/NPTX1/RAB3A/HAPLN4/APOE/SLC8A2/LRRC4B/KLK8/SHISA7",89
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","63/1403","278/18614",1.42671103235313e-15,1.28189986256928e-12,1.1155879072277e-12,"IGSF21/CLDN19/CELSR2/IGSF9/CNTN2/CELSR3/CADM2/IGSF11/SLITRK3/CLDN1/GRID2/CDH9/PCDHA1/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA8/PCDHA9/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHAC1/PCDHAC2/PCDHB13/PCDHB15/PCDH1/CLDN3/LRRC4/PCDH11X/TENM1/GPC4/SLITRK2/UNC5D/CRB2/HMCN2/RET/CDH23/CDHR1/FAT3/MPZL2/PCDH8/CLDN10/CLDN9/CLDN6/ITGAM/CBLN1/CX3CL1/CDH3/CDH1/CLDN7/SDK2/DSC2/DSG2/CDH7/MMP24/PTPRT/CDH26/CEACAM1/LRRC4B/CELSR1/CXADR",63
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","42/1403","148/18614",2.37032392675979e-14,1.82548804130886e-11,1.58865169046141e-11,"GABRD/PRKCZ/GRIK3/NRXN1/IGSF11/TMEM108/GABRG1/SNCA/GRID2/GLRA3/HCN1/RGS7BP/GABRB2/GABRA1/GABRG2/GABRP/GRM1/NLGN4X/NLGN3/GABRA3/GABRQ/RIMS2/GRIN1/P2RX3/HTR3A/GRIK4/GRIN2B/CUX2/P2RX2/GABRB3/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CBLN1/SEZ6/MPP2/CELF4/NETO1/CHRNA4/GRIK5/SLC8A2",42
"GO:0060079","GO:0060079","excitatory postsynaptic potential","37/1403","124/18614",1.49290230267337e-13,1.00602953921402e-10,8.75508626712526e-11,"GABRD/PRKCZ/NRXN1/IGSF11/TMEM108/GABRG1/SNCA/GRID2/GLRA3/GABRB2/GABRA1/GABRG2/GABRP/NLGN4X/NLGN3/GABRA3/GABRQ/RIMS2/GRIN1/P2RX3/HTR3A/GRIN2B/CUX2/P2RX2/GABRB3/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CBLN1/SEZ6/MPP2/CELF4/NETO1/CHRNA4/GRIK5/SLC8A2",37
"GO:0034329","GO:0034329","cell junction assembly","79/1403","444/18614",5.06148310131181e-13,3.03182837768577e-10,2.63848306228617e-10,"GJA4/CLDN19/GJA5/SEMA4A/F11R/NRXN1/ADD2/LRRTM1/C1QL2/ITGA6/FZD5/RAB17/LRRN1/LHFPL4/BSN/ILDR1/SLITRK3/CLDN1/LGI2/KDR/SNCA/GRID2/UGT8/TLR2/CTNND2/CDH9/MARVELD2/OCLN/PCDHB13/GABRB2/GABRA1/GABRG2/EPHA7/CLDN3/PCLO/LRRC4/CNTNAP2/NLGN4X/GPM6B/NLGN3/GPC4/FGF13/SLITRK2/SFRP1/GRHL2/SEMA4D/C1QL3/SPOCK2/NRG3/SORBS1/PKP3/SPTBN2/SHANK2/PKP2/CUX2/SLITRK5/CLDN10/GABRB3/CLDN9/CLDN6/CBLN1/CDH3/CDH1/MARVELD3/CLDN7/ARHGEF15/ASIC2/RAMP2/SDK2/NPTX1/CDH7/PARD6B/CDH26/CRB3/CAMSAP3/HAPLN4/LSR/NPHS1/LRRC4B",79
"GO:0023061","GO:0023061","signal release","83/1403","483/18614",8.97819363471104e-13,4.84014418847272e-10,4.21219042420075e-10,"RIMS3/SYT6/ILDR2/SYT2/FKBP1B/NRXN1/VAMP8/ADRA2B/RAPGEF4/ACVR2B/CSPG5/GRM2/ERC2/GPR27/ILDR1/ADCY5/P2RY1/SNCA/SPINK1/GPLD1/SLC44A4/GRM4/GLP1R/CNR1/SLC16A10/GHRHR/PCLO/VGF/CFTR/PTPRN2/MAOB/SYP/HTR2C/RAB11FIP1/SFRP1/OPRK1/LYN/CHD7/RIMS2/ADCY8/SYK/ALOX5/BRSK2/KCNQ1/SYT9/KCNJ11/ABCC8/SYT13/SYT12/ANO1/UCP2/FGF23/SYT10/SYT1/FOXO1/TNFSF11/EDNRB/CHGA/CHRNA3/CHRNB4/SV2B/BAIAP3/PLA2G10/SYT17/PRKCB/DOC2A/NOS2/CRHR1/MAP2K6/SYT4/TNFRSF11A/SLC32A1/RIMS4/HRH3/CHRNA4/STXBP2/RAB3A/GRIK5/SYT3/PRKCG/PLA2G3/SYN3/FAM3B",83
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","37/1403","132/18614",1.24916540328599e-12,6.12204608101341e-10,5.32778009803411e-10,"GABRD/PRKCZ/NRXN1/IGSF11/TMEM108/GABRG1/SNCA/GRID2/GLRA3/GABRB2/GABRA1/GABRG2/GABRP/NLGN4X/NLGN3/GABRA3/GABRQ/RIMS2/GRIN1/P2RX3/HTR3A/GRIN2B/CUX2/P2RX2/GABRB3/CHRNA7/CHRNA5/CHRNA3/CHRNB4/CBLN1/SEZ6/MPP2/CELF4/NETO1/CHRNA4/GRIK5/SLC8A2",37
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","42/1403","168/18614",2.56249269152388e-12,1.1511998416671e-09,1.00184473036157e-09,"IGSF21/CELSR2/IGSF9/CNTN2/CELSR3/CADM2/IGSF11/CDH9/PCDHA1/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA8/PCDHA9/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHAC1/PCDHAC2/PCDHB13/PCDHB15/PCDH1/PCDH11X/HMCN2/RET/CDH23/CDHR1/FAT3/MPZL2/PCDH8/CDH3/CDH1/SDK2/DSC2/DSG2/CDH7/PTPRT/CDH26/CEACAM1/CELSR1",42
"GO:0050890","GO:0050890","cognition","61/1403","317/18614",8.23289412242487e-12,3.41411786261481e-09,2.97117482620629e-09,"PRKCZ/ELAVL4/ATP1A2/CNTN2/LHCGR/NRXN1/SLC6A1/JAKMIP1/ATP8A1/TMPRSS11E/TLR2/GLP1R/TTBK1/CNR1/DNAH11/ADCY1/NPTX2/PRKAR2B/PTPRZ1/CNTNAP2/NLGN4X/GRPR/PTCHD1/NLGN3/FGF13/OPRK1/CHD7/CALB1/ADCY8/SLC24A2/GRIN1/SORCS3/ABCC8/SHANK2/B3GAT1/GRIN2B/PDE1B/CUX2/JPH4/KCNK10/CHRNA7/PAK6/GATM/FOXB1/STRA6/JPH3/SLC2A4/PPP1R1B/C1QL1/SYT4/NETO1/SLC12A5/HRH3/CHRNA4/APOE/SLC8A2/NTF4/KLK8/PRKCG/SHISA7/MGAT3",61
"GO:0007416","GO:0007416","synapse assembly","45/1403","197/18614",1.22859768771972e-11,4.73097866749786e-09,4.11718789035097e-09,"SEMA4A/NRXN1/ADD2/LRRTM1/C1QL2/FZD5/RAB17/LRRN1/LHFPL4/BSN/SLITRK3/LGI2/SNCA/GRID2/TLR2/CDH9/PCDHB13/GABRB2/GABRA1/GABRG2/EPHA7/PCLO/LRRC4/NLGN4X/NLGN3/GPC4/FGF13/SLITRK2/SEMA4D/C1QL3/SPOCK2/NRG3/SPTBN2/SHANK2/CUX2/SLITRK5/GABRB3/CBLN1/CDH1/ARHGEF15/ASIC2/SDK2/NPTX1/HAPLN4/LRRC4B",45
